modelCode,family,name,description,sizeLabel,uom,basePrice,currency,specsJson
AV1200TAF,AXIAL,"Tubeaxial 12"" Axial Fan (TAF)","Tubeaxial
Axial Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1200TAF",12,unit,17666,PHP,"{""bladeDia_in"":12,""maxRpm"":2000,""maxStaticPressure_pa"":373.63,""bladeType"":""Axial"",""drive"":""belt"",""category"":""Axial Type"",""type"":""Tubeaxial"",""tag"":""TAF"",""outletArea_ft2"":0.807}"
AV1200TAFDD,AXIAL,"Tubeaxial 12"" Axial Fan (TAFDD)","Tubeaxial
Axial Type / Direct Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1200TAFDD",12,unit,17666,PHP,"{""bladeDia_in"":12,""maxRpm"":2000,""maxStaticPressure_pa"":373.63,""bladeType"":""Axial"",""drive"":""direct"",""category"":""Axial Type"",""type"":""Tubeaxial"",""tag"":""TAFDD"",""outletArea_ft2"":0.807,""directBands"":[{""pole"":4,""minRpm"":1663,""maxRpm"":1838}]}"
AV1600TAF,AXIAL,"Tubeaxial 16"" Axial Fan (TAF)","Tubeaxial
Axial Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1600TAF",16,unit,22770,PHP,"{""bladeDia_in"":16,""maxRpm"":2000,""maxStaticPressure_pa"":373.63,""bladeType"":""Axial"",""drive"":""belt"",""category"":""Axial Type"",""type"":""Tubeaxial"",""tag"":""TAF"",""outletArea_ft2"":1.253}"
AV1600TAFDD,AXIAL,"Tubeaxial 16"" Axial Fan (TAFDD)","Tubeaxial
Axial Type / Direct Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1600TAFDD",16,unit,22770,PHP,"{""bladeDia_in"":16,""maxRpm"":2000,""maxStaticPressure_pa"":373.63,""bladeType"":""Axial"",""drive"":""direct"",""category"":""Axial Type"",""type"":""Tubeaxial"",""tag"":""TAFDD"",""outletArea_ft2"":1.253,""directBands"":[{""pole"":4,""minRpm"":1663,""maxRpm"":1838}]}"
AV1800TAF,AXIAL,"Tubeaxial 18"" Axial Fan (TAF)","Tubeaxial
Axial Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1800TAF",18,unit,26827,PHP,"{""bladeDia_in"":18,""maxRpm"":2000,""maxStaticPressure_pa"":373.63,""bladeType"":""Axial"",""drive"":""belt"",""category"":""Axial Type"",""type"":""Tubeaxial"",""tag"":""TAF"",""outletArea_ft2"":1.799}"
AV1800TAFDD,AXIAL,"Tubeaxial 18"" Axial Fan (TAFDD)","Tubeaxial
Axial Type / Direct Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1800TAFDD",18,unit,26827,PHP,"{""bladeDia_in"":18,""maxRpm"":2000,""maxStaticPressure_pa"":373.63,""bladeType"":""Axial"",""drive"":""direct"",""category"":""Axial Type"",""type"":""Tubeaxial"",""tag"":""TAFDD"",""outletArea_ft2"":1.799,""directBands"":[{""pole"":4,""minRpm"":1663,""maxRpm"":1838}]}"
AV2200TAF,AXIAL,"Tubeaxial 22"" Axial Fan (TAF)","Tubeaxial
Axial Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV2200TAF",22,unit,39112,PHP,"{""bladeDia_in"":22,""maxRpm"":2000,""maxStaticPressure_pa"":373.63,""bladeType"":""Axial"",""drive"":""belt"",""category"":""Axial Type"",""type"":""Tubeaxial"",""tag"":""TAF"",""outletArea_ft2"":2.449}"
AV2200TAFDD,AXIAL,"Tubeaxial 22"" Axial Fan (TAFDD)","Tubeaxial
Axial Type / Direct Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV2200TAFDD",22,unit,39112,PHP,"{""bladeDia_in"":22,""maxRpm"":2000,""maxStaticPressure_pa"":373.63,""bladeType"":""Axial"",""drive"":""direct"",""category"":""Axial Type"",""type"":""Tubeaxial"",""tag"":""TAFDD"",""outletArea_ft2"":2.449,""directBands"":[{""pole"":4,""minRpm"":1663,""maxRpm"":1838}]}"
AV2400TAF,AXIAL,"Tubeaxial 24"" Axial Fan (TAF)","Tubeaxial
Axial Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV2400TAF",24,unit,41384,PHP,"{""bladeDia_in"":24,""maxRpm"":2000,""maxStaticPressure_pa"":373.63,""bladeType"":""Axial"",""drive"":""belt"",""category"":""Axial Type"",""type"":""Tubeaxial"",""tag"":""TAF"",""outletArea_ft2"":3.192}"
AV2400TAFDD,AXIAL,"Tubeaxial 24"" Axial Fan (TAFDD)","Tubeaxial
Axial Type / Direct Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV2400TAFDD",24,unit,41384,PHP,"{""bladeDia_in"":24,""maxRpm"":2000,""maxStaticPressure_pa"":373.63,""bladeType"":""Axial"",""drive"":""direct"",""category"":""Axial Type"",""type"":""Tubeaxial"",""tag"":""TAFDD"",""outletArea_ft2"":3.192,""directBands"":[{""pole"":4,""minRpm"":1663,""maxRpm"":1838}]}"
