modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV1200TAF,1370,1019.41,62.27,0.0447,
AV1200TAF,1482,1189.31,62.27,0.0597,
AV1200TAF,1911,1189.31,124.54,0.1044,
AV1200TAF,1593,1359.21,62.27,0.0820,
AV1200TAF,1872,1359.21,124.54,0.1491,
AV1200TAF,2254,1359.21,186.82,0.1715,
AV1200TAF,1777,1699.01,62.27,0.1268,
AV1200TAF,2110,1699.01,124.54,0.1790,
AV1200TAF,2320,1699.01,186.82,0.2312,
AV1200TAF,2718,1699.01,249.09,0.3057,
AV1200TAF,2864,1699.01,311.36,0.3505,
AV1200TAF,1998,2038.81,62.27,0.1864,
AV1200TAF,2307,2038.81,124.54,0.2535,
AV1200TAF,2551,2038.81,186.82,0.3207,
AV1200TAF,2740,2038.81,249.09,0.3803,
AV1200TAF,3167,2038.81,311.36,0.4847,
AV1200TAF,3291,2038.81,373.63,0.5444,
AV1200TAF,3412,2038.81,435.91,0.5966,
AV1200TAF,2207,2378.62,62.27,0.2759,
AV1200TAF,2494,2378.62,124.54,0.3430,
AV1200TAF,2780,2378.62,186.82,0.4250,
AV1200TAF,2965,2378.62,249.09,0.4996,
AV1200TAF,3142,2378.62,311.36,0.5742,
AV1200TAF,3262,2378.62,373.63,0.6488,
AV1200TAF,3716,2378.62,435.91,0.7830,
AV1200TAF,3822,2378.62,498.18,0.8501,
AV1200TAF,3926,2378.62,560.45,0.9172,
AV1200TAF,4030,2378.62,622.72,0.9843,
AV1200TAF,2441,2718.42,62.27,0.3878,
AV1200TAF,2733,2718.42,124.54,0.4698,
AV1200TAF,2953,2718.42,186.82,0.5518,
AV1200TAF,3187,2718.42,249.09,0.6413,
AV1200TAF,3362,2718.42,311.36,0.7308,
AV1200TAF,3476,2718.42,373.63,0.8128,
AV1200TAF,3641,2718.42,435.91,0.9023,
AV1200TAF,3745,2718.42,498.18,0.9769,
AV1200TAF,4233,2718.42,560.45,1.1558,
AV1200TAF,4327,2718.42,622.72,1.2304,
AV1200TAF,4418,2718.42,684.99,1.3050,
AV1200TAF,2714,3058.22,62.27,0.5294,
AV1200TAF,2968,3058.22,124.54,0.6189,
AV1200TAF,3173,3058.22,186.82,0.7084,
AV1200TAF,3407,3058.22,249.09,0.8128,
AV1200TAF,3579,3058.22,311.36,0.9098,
AV1200TAF,3685,3058.22,373.63,0.9992,
AV1200TAF,3851,3058.22,435.91,1.1036,
AV1200TAF,3951,3058.22,498.18,1.1931,
AV1200TAF,4110,3058.22,560.45,1.2901,
AV1200TAF,4201,3058.22,622.72,1.3795,
AV1200TAF,4291,3058.22,684.99,1.4690,
AV1200TAF,2990,3398.02,62.27,0.7010,
AV1200TAF,3148,3398.02,124.54,0.7979,
AV1200TAF,3403,3398.02,186.82,0.9023,
AV1200TAF,3555,3398.02,249.09,0.9992,
AV1200TAF,3792,3398.02,311.36,1.1260,
AV1200TAF,3890,3398.02,373.63,1.2229,
AV1200TAF,4056,3398.02,435.91,1.3348,
AV1200TAF,4220,3398.02,498.18,1.4467,
AV1200TAF,4312,3398.02,560.45,1.5511,
AV1200TAF,4401,3398.02,622.72,1.6480,
AV1200TAF,4557,3398.02,684.99,1.7599,
AV1200TAF,3268,3737.82,62.27,0.9172,
AV1200TAF,3422,3737.82,124.54,1.0216,
AV1200TAF,3629,3737.82,186.82,1.1335,
AV1200TAF,3777,3737.82,249.09,1.2379,
AV1200TAF,4000,3737.82,311.36,1.3646,
AV1200TAF,4166,3737.82,373.63,1.4914,
AV1200TAF,4255,3737.82,435.91,1.5958,
AV1200TAF,4420,3737.82,498.18,1.7226,
AV1200TAF,4507,3737.82,560.45,1.8344,
AV1200TAF,3547,4077.63,62.27,1.1633,
AV1200TAF,3639,4077.63,124.54,1.2751,
AV1200TAF,3848,4077.63,186.82,1.4019,
AV1200TAF,3995,4077.63,249.09,1.5212,
AV1200TAF,4204,4077.63,311.36,1.6480,
AV1200TAF,4368,4077.63,373.63,1.7822,
AV1200TAF,4450,4077.63,435.91,1.8941,
AV1200TAF,3828,4417.43,62.27,1.4616,
AV1200TAF,3913,4417.43,124.54,1.5809,
AV1200TAF,4061,4417.43,186.82,1.7077,
AV1200TAF,4207,4417.43,249.09,1.8344,
AV1200TAF,4419,4417.43,311.36,1.9761,
AV1200TAF,4564,4417.43,373.63,2.1103,
AV1200TAF,4111,4757.23,62.27,1.8121,
AV1200TAF,4189,4757.23,124.54,1.9314,
AV1200TAF,4267,4757.23,186.82,2.0581,
AV1200TAF,4413,4757.23,249.09,2.1998,
AV1200TAF,4297,5097.03,62.27,2.2073,
AV1200TAF,4466,5097.03,124.54,2.3340,
AV1200TAF,4539,5097.03,186.82,2.4683,
