modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV1281CMB,1163,550.48,249.09,0.0597,
AV1281CMB,1574,550.48,498.18,0.1268,
AV1281CMB,1251,733.97,249.09,0.0895,
AV1281CMB,1626,733.97,498.18,0.1641,
AV1281CMB,2217,733.97,996.36,0.3430,
AV1281CMB,2697,733.97,1494.53,0.5369,
AV1281CMB,1351,917.47,249.09,0.1193,
AV1281CMB,1708,917.47,498.18,0.2163,
AV1281CMB,2258,917.47,996.36,0.4176,
AV1281CMB,2716,917.47,1494.53,0.6413,
AV1281CMB,3116,917.47,1992.71,0.8799,
AV1281CMB,1463,1100.96,249.09,0.1641,
AV1281CMB,1800,1100.96,498.18,0.2685,
AV1281CMB,2323,1100.96,996.36,0.4996,
AV1281CMB,2756,1100.96,1494.53,0.7532,
AV1281CMB,3141,1100.96,1992.71,1.0142,
AV1281CMB,3810,1100.96,2989.07,1.5883,
AV1281CMB,1583,1284.45,249.09,0.2163,
AV1281CMB,1902,1284.45,498.18,0.3356,
AV1281CMB,2407,1284.45,996.36,0.5966,
AV1281CMB,2817,1284.45,1494.53,0.8725,
AV1281CMB,3184,1284.45,1992.71,1.1633,
AV1281CMB,3831,1284.45,2989.07,1.7897,
AV1281CMB,4395,1284.45,3985.42,2.4608,
AV1281CMB,1710,1467.95,249.09,0.2834,
AV1281CMB,2012,1467.95,498.18,0.4176,
AV1281CMB,2497,1467.95,996.36,0.7084,
AV1281CMB,2895,1467.95,1494.53,1.0142,
AV1281CMB,3244,1467.95,1992.71,1.3273,
AV1281CMB,3866,1467.95,2989.07,1.9985,
AV1281CMB,4414,1467.95,3985.42,2.7218,
AV1281CMB,4909,1467.95,4981.78,3.4824,
AV1281CMB,1843,1651.44,249.09,0.3579,
AV1281CMB,2128,1651.44,498.18,0.5071,
AV1281CMB,2594,1651.44,996.36,0.8277,
AV1281CMB,2982,1651.44,1494.53,1.1633,
AV1281CMB,3320,1651.44,1992.71,1.5138,
AV1281CMB,3916,1651.44,2989.07,2.2371,
AV1281CMB,4447,1651.44,3985.42,2.9977,
AV1281CMB,4930,1651.44,4981.78,3.8105,
AV1281CMB,1980,1834.93,249.09,0.4549,
AV1281CMB,2249,1834.93,498.18,0.6189,
AV1281CMB,2697,1834.93,996.36,0.9620,
AV1281CMB,3073,1834.93,1494.53,1.3273,
AV1281CMB,3405,1834.93,1992.71,1.7077,
AV1281CMB,3980,1834.93,2989.07,2.4906,
AV1281CMB,4493,1834.93,3985.42,3.3035,
AV1281CMB,4962,1834.93,4981.78,4.1610,
AV1281CMB,2122,2018.42,249.09,0.5667,
AV1281CMB,2375,2018.42,498.18,0.7457,
AV1281CMB,2806,2018.42,996.36,1.1185,
AV1281CMB,3171,2018.42,1494.53,1.5138,
AV1281CMB,3494,2018.42,1992.71,1.9239,
AV1281CMB,4057,2018.42,2989.07,2.7591,
AV1281CMB,4550,2018.42,3985.42,3.6316,
AV1281CMB,5006,2018.42,4981.78,4.5339,
AV1281CMB,2269,2201.92,249.09,0.7084,
AV1281CMB,2506,2201.92,498.18,0.8948,
AV1281CMB,2919,2201.92,996.36,1.2975,
AV1281CMB,3273,2201.92,1494.53,1.7151,
AV1281CMB,3588,2201.92,1992.71,2.1476,
AV1281CMB,4141,2201.92,2989.07,3.0574,
AV1281CMB,4620,2201.92,3985.42,3.9746,
AV1281CMB,5060,2201.92,4981.78,4.9365,
AV1281CMB,2419,2385.41,249.09,0.8650,
AV1281CMB,2640,2385.41,498.18,1.0664,
AV1281CMB,3036,2385.41,996.36,1.4914,
AV1281CMB,3380,2385.41,1494.53,1.9388,
AV1281CMB,3687,2385.41,1992.71,2.4012,
AV1281CMB,4227,2385.41,2989.07,3.3631,
AV1281CMB,4699,2385.41,3985.42,4.3474,
AV1281CMB,5125,2385.41,4981.78,5.3541,
AV1281CMB,2571,2568.90,249.09,1.0440,
AV1281CMB,2777,2568.90,498.18,1.2602,
AV1281CMB,3157,2568.90,996.36,1.7151,
AV1281CMB,3490,2568.90,1494.53,2.1849,
AV1281CMB,3789,2568.90,1992.71,2.6771,
AV1281CMB,4318,2568.90,2989.07,3.6912,
AV1281CMB,4783,2568.90,3985.42,4.7427,
AV1281CMB,5201,2568.90,4981.78,5.8090,
AV1281CMB,2726,2752.40,249.09,1.2528,
AV1281CMB,2918,2752.40,498.18,1.4765,
AV1281CMB,3282,2752.40,996.36,1.9612,
AV1281CMB,3605,2752.40,1494.53,2.4608,
AV1281CMB,3896,2752.40,1992.71,2.9753,
AV1281CMB,4413,2752.40,2989.07,4.0417,
AV1281CMB,4870,2752.40,3985.42,5.1602,
AV1281CMB,2882,2935.89,249.09,1.4839,
AV1281CMB,3061,2935.89,498.18,1.7226,
AV1281CMB,3410,2935.89,996.36,2.2371,
AV1281CMB,3722,2935.89,1494.53,2.7591,
AV1281CMB,4006,2935.89,1992.71,3.2960,
AV1281CMB,4512,2935.89,2989.07,4.4220,
AV1281CMB,4960,2935.89,3985.42,5.5927,
AV1281CMB,3040,3119.38,249.09,1.7524,
AV1281CMB,3208,3119.38,498.18,1.9985,
AV1281CMB,3541,3119.38,996.36,2.5354,
AV1281CMB,3843,3119.38,1494.53,3.0872,
AV1281CMB,4119,3119.38,1992.71,3.6539,
AV1281CMB,4614,3119.38,2989.07,4.8321,
AV1281CMB,5053,3119.38,3985.42,6.0476,
AV1281CMB,3198,3302.88,249.09,2.0432,
AV1281CMB,3357,3302.88,498.18,2.3042,
AV1281CMB,3674,3302.88,996.36,2.8709,
AV1281CMB,3966,3302.88,1494.53,3.4526,
AV1281CMB,4235,3302.88,1992.71,4.0417,
AV1281CMB,4719,3302.88,2989.07,5.2646,
AV1281CMB,5150,3302.88,3985.42,6.5323,
AV1562CMB,912,897.08,249.09,0.1044,
AV1562CMB,1234,897.08,498.18,0.2088,
AV1562CMB,981,1196.10,249.09,0.1417,
AV1562CMB,1275,1196.10,498.18,0.2685,
AV1562CMB,1738,1196.10,996.36,0.5593,
AV1562CMB,2114,1196.10,1494.53,0.8799,
AV1562CMB,1060,1495.13,249.09,0.1939,
AV1562CMB,1340,1495.13,498.18,0.3505,
AV1562CMB,1770,1495.13,996.36,0.6786,
AV1562CMB,2130,1495.13,1494.53,1.0440,
AV1562CMB,2443,1495.13,1992.71,1.4317,
AV1562CMB,1148,1794.16,249.09,0.2685,
AV1562CMB,1412,1794.16,498.18,0.4400,
AV1562CMB,1822,1794.16,996.36,0.8203,
AV1562CMB,2161,1794.16,1494.53,1.2229,
AV1562CMB,2463,1794.16,1992.71,1.6555,
AV1562CMB,2987,1794.16,2989.07,2.5876,
AV1562CMB,1242,2093.18,249.09,0.3505,
AV1562CMB,1492,2093.18,498.18,0.5518,
AV1562CMB,1888,2093.18,996.36,0.9769,
AV1562CMB,2209,2093.18,1494.53,1.4243,
AV1562CMB,2497,2093.18,1992.71,1.9015,
AV1562CMB,3003,2093.18,2989.07,2.9082,
AV1562CMB,3445,2093.18,3985.42,4.0044,
AV1562CMB,1342,2392.21,249.09,0.4623,
AV1562CMB,1578,2392.21,498.18,0.6786,
AV1562CMB,1958,2392.21,996.36,1.1558,
AV1562CMB,2271,2392.21,1494.53,1.6555,
AV1562CMB,2544,2392.21,1992.71,2.1700,
AV1562CMB,3031,2392.21,2989.07,3.2587,
AV1562CMB,3461,2392.21,3985.42,4.4295,
AV1562CMB,3849,2392.21,4981.78,5.6748,
AV1562CMB,1446,2691.23,249.09,0.5891,
AV1562CMB,1669,2691.23,498.18,0.8277,
AV1562CMB,2035,2691.23,996.36,1.3497,
AV1562CMB,2339,2691.23,1494.53,1.9015,
AV1562CMB,2604,2691.23,1992.71,2.4608,
AV1562CMB,3071,2691.23,2989.07,3.6465,
AV1562CMB,3487,2691.23,3985.42,4.8918,
AV1562CMB,3865,2691.23,4981.78,6.2042,
AV1562CMB,1554,2990.26,249.09,0.7457,
AV1562CMB,1765,2990.26,498.18,1.0142,
AV1562CMB,2116,2990.26,996.36,1.5734,
AV1562CMB,2411,2990.26,1494.53,2.1700,
AV1562CMB,2671,2990.26,1992.71,2.7889,
AV1562CMB,3121,2990.26,2989.07,4.0492,
AV1562CMB,3523,2990.26,3985.42,5.3840,
AV1562CMB,3891,2990.26,4981.78,6.7784,
AV1562CMB,1666,3289.28,249.09,0.9321,
AV1562CMB,1864,3289.28,498.18,1.2229,
AV1562CMB,2201,3289.28,996.36,1.8270,
AV1562CMB,2487,3289.28,1494.53,2.4683,
AV1562CMB,2741,3289.28,1992.71,3.1394,
AV1562CMB,3182,3289.28,2989.07,4.5040,
AV1562CMB,3568,3289.28,3985.42,5.9134,
AV1562CMB,3925,3289.28,4981.78,7.3899,
AV1562CMB,1781,3588.31,249.09,1.1484,
AV1562CMB,1967,3588.31,498.18,1.4690,
AV1562CMB,2290,3588.31,996.36,2.1103,
AV1562CMB,2568,3588.31,1494.53,2.7964,
AV1562CMB,2815,3588.31,1992.71,3.5122,
AV1562CMB,3248,3588.31,2989.07,4.9813,
AV1562CMB,3623,3588.31,3985.42,6.4801,
AV1562CMB,3968,3588.31,4981.78,8.0386,
AV1562CMB,1899,3887.34,249.09,1.4094,
AV1562CMB,2072,3887.34,498.18,1.7449,
