modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
12NSB,1370,0.00,155.00,0.02300,
12NSB,1370,40.00,140.00,0.02300,
12NSB,1370,80.00,118.00,0.02300,
12NSB,1370,120.00,88.00,0.02300,
12NSB,1370,150.00,55.00,0.02300,
12NSB,1370,175.00,22.00,0.02300,
12NSB,1370,190.00,0.00,0.02300,
15NSB,1385,0.00,190.00,0.04200,
15NSB,1385,80.00,170.00,0.04200,
15NSB,1385,160.00,140.00,0.04200,
15NSB,1385,240.00,98.00,0.04200,
15NSB,1385,300.00,55.00,0.04200,
15NSB,1385,350.00,18.00,0.04200,
15NSB,1385,370.00,0.00,0.04200,
18NSB,1370,0.00,260.00,0.07900,
18NSB,1370,100.00,240.00,0.07900,
18NSB,1370,200.00,200.00,0.07900,
18NSB,1370,300.00,150.00,0.07900,
18NSB,1370,400.00,95.00,0.07900,
18NSB,1370,470.00,35.00,0.07900,
18NSB,1370,510.00,0.00,0.07900,
18NFB,1370,0.00,210.00,0.12900,
18NFB,1370,150.00,200.00,0.12900,
18NFB,1370,300.00,178.00,0.12900,
18NFB,1370,450.00,135.00,0.12900,
18NFB,1370,600.00,75.00,0.12900,
18NFB,1370,700.00,28.00,0.12900,
18NFB,1370,760.00,0.00,0.12900,
20NSB,1370,0.00,400.00,0.16900,
20NSB,1370,150.00,370.00,0.16900,
20NSB,1370,300.00,310.00,0.16900,
20NSB,1370,450.00,235.00,0.16900,
20NSB,1370,600.00,150.00,0.16900,
20NSB,1370,780.00,50.00,0.16900,
20NSB,1370,880.00,0.00,0.16900,
23NLB,1210,0.00,490.00,0.31000,
23NLB,1210,200.00,460.00,0.31000,
23NLB,1210,400.00,400.00,0.31000,
23NLB,1210,600.00,310.00,0.31000,
23NLB,1210,800.00,200.00,0.31000,
23NLB,1210,1000.00,75.00,0.31000,
23NLB,1210,1100.00,0.00,0.31000,
25NSB,1245,0.00,650.00,0.46700,
25NSB,1245,300.00,560.00,0.46700,
25NSB,1245,600.00,470.00,0.46700,
25NSB,1245,900.00,370.00,0.46700,
25NSB,1245,1200.00,240.00,0.46700,
25NSB,1245,1500.00,90.00,0.46700,
25NSB,1245,1700.00,0.00,0.46700,
25NFB,1245,0.00,680.00,0.52000,
25NFB,1245,300.00,600.00,0.52000,
25NFB,1245,600.00,500.00,0.52000,
25NFB,1245,900.00,390.00,0.52000,
25NFB,1245,1200.00,250.00,0.52000,
25NFB,1245,1500.00,110.00,0.52000,
25NFB,1245,1810.00,0.00,0.52000,
