modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
17CUF,770,0.00,120.00,0.01000,
17CUF,770,20.00,110.00,0.01000,
17CUF,770,40.00,92.00,0.01000,
17CUF,770,55.00,70.00,0.01000,
17CUF,770,70.00,42.00,0.01000,
17CUF,770,80.00,20.00,0.01000,
17CUF,770,85.00,0.00,0.01000,
17CUG,770,0.00,120.00,0.01000,
17CUG,770,20.00,110.00,0.01000,
17CUG,770,40.00,92.00,0.01000,
17CUG,770,55.00,70.00,0.01000,
17CUG,770,70.00,42.00,0.01000,
17CUG,770,80.00,20.00,0.01000,
17CUG,770,85.00,0.00,0.01000,
24CUF,615,0.00,125.00,0.01550,
24CUF,615,40.00,108.00,0.01550,
24CUF,615,70.00,88.00,0.01550,
24CUF,615,100.00,60.00,0.01550,
24CUF,615,120.00,35.00,0.01550,
24CUF,615,135.00,12.00,0.01550,
24CUF,615,140.00,0.00,0.01550,
24CUG,615,0.00,125.00,0.01550,
24CUG,615,40.00,108.00,0.01550,
24CUG,615,70.00,88.00,0.01550,
24CUG,615,100.00,60.00,0.01550,
24CUG,615,120.00,35.00,0.01550,
24CUG,615,135.00,12.00,0.01550,
24CUG,615,140.00,0.00,0.01550,
24CDF,700,0.00,135.00,0.01650,
24CDF,700,50.00,118.00,0.01650,
24CDF,700,90.00,92.00,0.01650,
24CDF,700,120.00,68.00,0.01650,
24CDF,700,150.00,32.00,0.01650,
24CDF,700,165.00,10.00,0.01650,
24CDF,700,170.00,0.00,0.01650,
24CDG,700,0.00,135.00,0.01650,
24CDG,700,50.00,118.00,0.01650,
24CDG,700,90.00,92.00,0.01650,
24CDG,700,120.00,68.00,0.01650,
24CDG,700,150.00,32.00,0.01650,
24CDG,700,165.00,10.00,0.01650,
24CDG,700,170.00,0.00,0.01650,
24CHG,730,0.00,135.00,0.02200,
24CHG,730,50.00,120.00,0.02200,
24CHG,730,100.00,95.00,0.02200,
24CHG,730,140.00,60.00,0.02200,
24CHG,730,170.00,28.00,0.02200,
24CHG,730,185.00,8.00,0.02200,
24CHG,730,190.00,0.00,0.02200,
27CHH,590,0.00,170.00,0.03600,
27CHH,590,50.00,158.00,0.03600,
27CHH,590,150.00,118.00,0.03600,
27CHH,590,250.00,72.00,0.03600,
27CHH,590,320.00,28.00,0.03600,
27CHH,590,350.00,0.00,0.03600,
32CDH,580,0.00,210.00,0.04800,
32CDH,580,100.00,168.00,0.04800,
32CDH,580,200.00,120.00,0.04800,
32CDH,580,300.00,70.00,0.04800,
32CDH,580,380.00,20.00,0.04800,
32CDH,580,410.00,0.00,0.04800,
32CHH,725,0.00,270.00,0.06800,
32CHH,725,150.00,205.00,0.06800,
32CHH,725,300.00,140.00,0.06800,
32CHH,725,450.00,68.00,0.06800,
32CHH,725,520.00,22.00,0.06800,
32CHH,725,545.00,0.00,0.06800,
38CDG,657,0.00,355.00,0.10700,
38CDG,657,200.00,278.00,0.10700,
38CDG,657,400.00,190.00,0.10700,
38CDG,657,550.00,95.00,0.10700,
38CDG,657,640.00,20.00,0.10700,
38CDG,657,665.00,0.00,0.10700,
38CHG,760,0.00,400.00,0.13800,
38CHG,760,200.00,360.00,0.13800,
38CHG,760,400.00,275.00,0.13800,
38CHG,760,550.00,185.00,0.13800,
38CHG,760,700.00,70.00,0.13800,
38CHG,760,790.00,0.00,0.13800,
