modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV7300CEB,163,41646.15,124.54,1.9314,
AV7300CEB,215,41646.15,249.09,3.7956,
AV7300CEB,171,46851.92,124.54,2.2744,
AV7300CEB,218,46851.92,249.09,4.2430,
AV7300CEB,179,52057.69,124.54,2.6323,
AV7300CEB,223,52057.69,249.09,4.7576,
AV7300CEB,263,52057.69,373.63,7.0394,
AV7300CEB,198,62469.23,124.54,3.5570,
AV7300CEB,236,62469.23,249.09,5.9283,
AV7300CEB,271,62469.23,373.63,8.4712,
AV7300CEB,305,62469.23,498.18,11.2377,
AV7300CEB,219,72880.77,124.54,4.7352,
AV7300CEB,252,72880.77,249.09,7.3451,
AV7300CEB,284,72880.77,373.63,10.2310,
AV7300CEB,314,72880.77,498.18,13.2362,
AV7300CEB,372,72880.77,747.27,19.7909,
AV7300CEB,242,83292.31,124.54,6.2788,
AV7300CEB,271,83292.31,249.09,9.1497,
AV7300CEB,299,83292.31,373.63,12.1996,
AV7300CEB,326,83292.31,498.18,15.4360,
AV7300CEB,379,83292.31,747.27,22.5723,
AV7300CEB,430,83292.31,996.36,30.3574,
AV7300CEB,265,93703.84,124.54,8.1058,
AV7300CEB,291,93703.84,249.09,11.2377,
AV7300CEB,317,93703.84,373.63,14.6530,
AV7300CEB,342,93703.84,498.18,18.2025,
AV7300CEB,389,93703.84,747.27,25.6073,
AV7300CEB,435,93703.84,996.36,33.6833,
AV7300CEB,480,93703.84,1245.44,42.4005,
AV7300CEB,288,104115.38,124.54,10.2534,
AV7300CEB,312,104115.38,249.09,13.6836,
AV7300CEB,336,104115.38,373.63,17.4270,
AV7300CEB,359,104115.38,498.18,21.2524,
AV7300CEB,403,104115.38,747.27,29.2985,
AV7300CEB,445,104115.38,996.36,37.8144,
AV7300CEB,486,104115.38,1245.44,46.8225,
AV7300CEB,527,104115.38,1494.53,56.6359,
AV7300CEB,313,114526.92,124.54,13.0050,
AV7300CEB,335,114526.92,249.09,16.7186,
AV7300CEB,356,114526.92,373.63,20.5813,
AV7300CEB,377,114526.92,498.18,24.6528,
AV7300CEB,418,114526.92,747.27,33.2284,
AV7300CEB,457,114526.92,996.36,42.2290,
AV7300CEB,496,114526.92,1245.44,52.0349,
AV7300CEB,533,114526.92,1494.53,61.9005,
AV7300CEB,570,114526.92,1743.62,72.4746,
AV7300CEB,607,114526.92,1992.71,83.7048,
AV7300CEB,337,124938.46,124.54,16.0624,
AV7300CEB,357,124938.46,249.09,19.9773,
AV7300CEB,377,124938.46,373.63,24.2054,
AV7300CEB,397,124938.46,498.18,28.6796,
AV7300CEB,435,124938.46,747.27,37.7622,
AV7300CEB,472,124938.46,996.36,47.4265,
AV7300CEB,508,124938.46,1245.44,57.6053,
AV7300CEB,543,124938.46,1494.53,68.1570,
AV7300CEB,577,124938.46,1743.62,78.9323,
AV7300CEB,610,124938.46,1992.71,89.9090,
AV7300CEB,644,124938.46,2241.80,101.9819,
AV7300CEB,362,135350.00,124.54,19.7387,
AV7300CEB,381,135350.00,249.09,24.0115,
AV7300CEB,399,135350.00,373.63,28.3888,
AV7300CEB,417,135350.00,498.18,33.0047,
AV7300CEB,453,135350.00,747.27,42.7733,
AV7300CEB,487,135350.00,996.36,52.6912,
AV7300CEB,521,135350.00,1245.44,63.3994,
AV7300CEB,554,135350.00,1494.53,74.4656,
AV7300CEB,586,135350.00,1743.62,85.7629,
AV7300CEB,618,135350.00,1992.71,97.6270,
AV7300CEB,649,135350.00,2241.80,109.6030,
AV7300CEB,387,145761.54,124.54,23.9370,
AV7300CEB,404,145761.54,249.09,28.3441,
AV7300CEB,422,145761.54,373.63,33.2284,
AV7300CEB,439,145761.54,498.18,38.1649,
AV7300CEB,472,145761.54,747.27,48.3288,
AV7300CEB,505,145761.54,996.36,59.1191,
AV7300CEB,536,145761.54,1245.44,69.9243,
AV7300CEB,567,145761.54,1494.53,81.4155,
AV7300CEB,598,145761.54,1743.62,93.5704,
AV7300CEB,628,145761.54,1992.71,105.8745,
AV7300CEB,657,145761.54,2241.80,118.1636,
AV7300CEB,412,156173.07,124.54,28.7020,
AV7300CEB,429,156173.07,249.09,33.6311,
AV7300CEB,445,156173.07,373.63,38.5825,
AV7300CEB,461,156173.07,498.18,43.7875,
AV7300CEB,492,156173.07,747.27,54.5107,
AV7300CEB,523,156173.07,996.36,65.8229,
AV7300CEB,553,156173.07,1245.44,77.3887,
AV7300CEB,582,156173.07,1494.53,89.2230,
AV7300CEB,611,156173.07,1743.62,101.6911,
AV7300CEB,640,156173.07,1992.71,114.7856,
AV7300CEB,668,156173.07,2241.80,127.9174,
AV7300CEB,463,176996.15,124.54,40.3349,
AV7300CEB,478,176996.15,249.09,45.8233,
AV7300CEB,492,176996.15,373.63,51.2520,
AV7300CEB,506,176996.15,498.18,56.8745,
AV7300CEB,534,176996.15,747.27,68.7684,
AV7300CEB,562,176996.15,996.36,81.3559,
AV7300CEB,589,176996.15,1245.44,94.0253,
AV7300CEB,615,176996.15,1494.53,106.7171,
AV7300CEB,642,176996.15,1743.62,120.5573,
AV7300CEB,667,176996.15,1992.71,133.8830,
AV7300CEB,693,176996.15,2241.80,148.3570,
AV7300CEB,514,197819.23,124.54,54.7791,
AV7300CEB,527,197819.23,249.09,60.6925,
AV7300CEB,540,197819.23,373.63,66.7923,
AV7300CEB,553,197819.23,498.18,73.0935,
AV7300CEB,578,197819.23,747.27,85.8897,
AV7300CEB,603,197819.23,996.36,99.4167,
AV7300CEB,628,197819.23,1245.44,113.5179,
AV7300CEB,652,197819.23,1494.53,127.5221,
AV7300CEB,676,197819.23,1743.62,141.9738,
AV7300CEB,700,197819.23,1992.71,156.9773,
AV7300CEB,723,197819.23,2241.80,171.8764,
AV7300CEB,566,218642.30,124.54,72.7356,
AV7300CEB,578,218642.30,249.09,79.3201,
AV7300CEB,589,218642.30,373.63,85.6585,
AV7300CEB,601,218642.30,498.18,92.5936,
AV7300CEB,624,218642.30,747.27,106.5307,
AV7300CEB,647,218642.30,996.36,121.2135,
AV7300CEB,669,218642.30,1245.44,135.9485,
AV7300CEB,691,218642.30,1494.53,151.1310,
AV7300CEB,713,218642.30,1743.62,166.6863,
AV7300CEB,735,218642.30,1992.71,182.6666,
AV7300CEB,757,218642.30,2241.80,199.1242,
AV7300CEB,680,124938.46,2490.89,115.4940,
AV7300CEB,680,135350.00,2490.89,122.1978,
AV7300CEB,712,135350.00,2739.98,135.8665,
AV7300CEB,686,145761.54,2490.89,130.9747,
AV7300CEB,715,145761.54,2739.98,144.3526,
AV7300CEB,744,145761.54,2989.07,158.3270,
AV7300CEB,774,145761.54,3238.16,173.3305,
AV7300CEB,695,156173.07,2490.89,140.9373,
AV7300CEB,722,156173.07,2739.98,154.4195,
AV7300CEB,749,156173.07,2989.07,168.4089,
AV7300CEB,776,156173.07,3238.16,182.9351,
AV7300CEB,804,156173.07,3487.24,198.7365,
AV7300CEB,832,156173.07,3736.33,214.8809,
AV7300CEB,706,166584.61,2490.89,151.6828,
AV7300CEB,732,166584.61,2739.98,165.8959,
AV7300CEB,758,166584.61,2989.07,180.5712,
AV7300CEB,783,166584.61,3238.16,195.0080,
AV7300CEB,808,166584.61,3487.24,209.9145,
AV7300CEB,833,166584.61,3736.33,225.3132,
AV7300CEB,859,166584.61,3985.42,242.0094,
AV7300CEB,885,166584.61,4234.51,258.9965,
AV7300CEB,718,176996.15,2490.89,162.7341,
AV7300CEB,743,176996.15,2739.98,177.6183,
AV7300CEB,768,176996.15,2989.07,192.9722,
AV7300CEB,792,176996.15,3238.16,207.9981,
AV7300CEB,816,176996.15,3487.24,223.4415,
AV7300CEB,839,176996.15,3736.33,238.4972,
AV7300CEB,863,176996.15,3985.42,254.8504,
AV7300CEB,887,176996.15,4234.51,271.7032,
AV7300CEB,911,176996.15,4483.60,289.0109,
AV7300CEB,936,176996.15,4732.69,307.5415,
AV7300CEB,961,176996.15,4981.78,326.4301,
AV7300CEB,732,187407.69,2490.89,175.0232,
AV7300CEB,755,187407.69,2739.98,189.7284,
AV7300CEB,779,187407.69,2989.07,205.6566,
AV7300CEB,802,187407.69,3238.16,221.2417,
AV7300CEB,825,187407.69,3487.24,237.2146,
AV7300CEB,848,187407.69,3736.33,253.5902,
AV7300CEB,871,187407.69,3985.42,270.4057,
AV7300CEB,893,187407.69,4234.51,286.7141,
AV7300CEB,915,187407.69,4483.60,303.4402,
AV7300CEB,938,187407.69,4732.69,321.6278,
AV7300CEB,961,187407.69,4981.78,340.2778,
AV7300CEB,746,197819.23,2490.89,187.2974,
AV7300CEB,769,197819.23,2739.98,203.2256,
AV7300CEB,792,197819.23,2989.07,219.6459,
AV7300CEB,814,197819.23,3238.16,235.7008,
AV7300CEB,836,197819.23,3487.24,252.1733,
AV7300CEB,858,197819.23,3736.33,269.0336,
AV7300CEB,880,197819.23,3985.42,286.2742,
AV7300CEB,901,197819.23,4234.51,302.9257,
AV7300CEB,923,197819.23,4483.60,320.9791,
AV7300CEB,944,197819.23,4732.69,338.4061,
AV7300CEB,965,197819.23,4981.78,356.2432,
AV7300CEB,762,208230.77,2490.89,201.1824,
