modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV0900CIEB,850,424.75,31.14,0.0075,
AV0900CIEB,1024,424.75,62.27,0.0149,
AV0900CIEB,1320,424.75,124.54,0.0373,
AV0900CIEB,1792,424.75,249.09,0.0746,
AV0900CIEB,2176,424.75,373.63,0.1193,
AV0900CIEB,1011,560.67,31.14,0.0149,
AV0900CIEB,1157,560.67,62.27,0.0224,
AV0900CIEB,1415,560.67,124.54,0.0447,
AV0900CIEB,1844,560.67,249.09,0.0895,
AV0900CIEB,2206,560.67,373.63,0.1417,
AV0900CIEB,2526,560.67,498.18,0.2013,
AV0900CIEB,2811,560.67,622.72,0.2610,
AV0900CIEB,3070,560.67,747.27,0.3281,
AV0900CIEB,1183,696.59,31.14,0.0298,
AV0900CIEB,1313,696.59,62.27,0.0373,
AV0900CIEB,1537,696.59,124.54,0.0597,
AV0900CIEB,1927,696.59,249.09,0.1119,
AV0900CIEB,2264,696.59,373.63,0.1641,
AV0900CIEB,2564,696.59,498.18,0.2312,
AV0900CIEB,2840,696.59,622.72,0.2983,
AV0900CIEB,3095,696.59,747.27,0.3728,
AV0900CIEB,3332,696.59,871.81,0.4474,
AV0900CIEB,3554,696.59,996.36,0.5294,
AV0900CIEB,1364,832.52,31.14,0.0373,
AV0900CIEB,1479,832.52,62.27,0.0522,
AV0900CIEB,1680,832.52,124.54,0.0746,
AV0900CIEB,2034,832.52,249.09,0.1342,
AV0900CIEB,2346,832.52,373.63,0.1939,
AV0900CIEB,2630,832.52,498.18,0.2610,
AV0900CIEB,2890,832.52,622.72,0.3356,
AV0900CIEB,3133,832.52,747.27,0.4101,
AV0900CIEB,3362,832.52,871.81,0.4922,
AV0900CIEB,3580,832.52,996.36,0.5816,
AV0900CIEB,1549,968.44,31.14,0.0597,
AV0900CIEB,1652,968.44,62.27,0.0746,
AV0900CIEB,1837,968.44,124.54,0.0969,
AV0900CIEB,2158,968.44,249.09,0.1641,
AV0900CIEB,2448,968.44,373.63,0.2312,
AV0900CIEB,2714,968.44,498.18,0.3057,
AV0900CIEB,2962,968.44,622.72,0.3803,
AV0900CIEB,3193,968.44,747.27,0.4623,
AV0900CIEB,3412,968.44,871.81,0.5444,
AV0900CIEB,3620,968.44,996.36,0.6338,
AV0900CIEB,1739,1104.36,31.14,0.0820,
AV0900CIEB,1831,1104.36,62.27,0.0969,
AV0900CIEB,2001,1104.36,124.54,0.1268,
AV0900CIEB,2297,1104.36,249.09,0.1939,
AV0900CIEB,2566,1104.36,373.63,0.2685,
AV0900CIEB,2816,1104.36,498.18,0.3505,
AV0900CIEB,3050,1104.36,622.72,0.4325,
AV0900CIEB,3271,1104.36,747.27,0.5220,
AV0900CIEB,3480,1104.36,871.81,0.6115,
AV0900CIEB,1931,1240.28,31.14,0.1119,
AV0900CIEB,2014,1240.28,62.27,0.1268,
AV0900CIEB,2170,1240.28,124.54,0.1641,
AV0900CIEB,2448,1240.28,249.09,0.2386,
AV0900CIEB,2696,1240.28,373.63,0.3132,
AV0900CIEB,2931,1240.28,498.18,0.4027,
AV0900CIEB,3152,1240.28,622.72,0.4847,
AV0900CIEB,3363,1240.28,747.27,0.5816,
AV0900CIEB,3563,1240.28,871.81,0.6860,
AV0900CIEB,2124,1376.20,31.14,0.1417,
AV0900CIEB,2200,1376.20,62.27,0.1641,
AV0900CIEB,2344,1376.20,124.54,0.2013,
AV0900CIEB,2606,1376.20,249.09,0.2834,
AV0900CIEB,2838,1376.20,373.63,0.3728,
AV0900CIEB,3058,1376.20,498.18,0.4623,
AV0900CIEB,3268,1376.20,622.72,0.5518,
AV0900CIEB,3467,1376.20,747.27,0.6488,
AV0900CIEB,2320,1512.12,31.14,0.1864,
AV0900CIEB,2389,1512.12,62.27,0.2088,
AV0900CIEB,2523,1512.12,124.54,0.2535,
AV0900CIEB,2769,1512.12,249.09,0.3430,
AV0900CIEB,2990,1512.12,373.63,0.4325,
AV0900CIEB,3195,1512.12,498.18,0.5294,
AV0900CIEB,3393,1512.12,622.72,0.6264,
AV0900CIEB,3584,1512.12,747.27,0.7308,
AV0900CIEB,2516,1648.04,31.14,0.2386,
AV0900CIEB,2580,1648.04,62.27,0.2610,
AV0900CIEB,2704,1648.04,124.54,0.3057,
AV0900CIEB,2936,1648.04,249.09,0.4027,
AV0900CIEB,3148,1648.04,373.63,0.4996,
AV0900CIEB,3342,1648.04,498.18,0.6040,
AV0900CIEB,3528,1648.04,622.72,0.7084,
AV0900CIEB,2713,1783.96,31.14,0.2983,
AV0900CIEB,2773,1783.96,62.27,0.3207,
AV0900CIEB,2889,1783.96,124.54,0.3728,
AV0900CIEB,3107,1783.96,249.09,0.4772,
AV0900CIEB,3309,1783.96,373.63,0.5816,
AV0900CIEB,3496,1783.96,498.18,0.6860,
AV0900CIEB,2911,1919.88,31.14,0.3654,
AV0900CIEB,2967,1919.88,62.27,0.3878,
AV0900CIEB,3075,1919.88,124.54,0.4474,
AV0900CIEB,3281,1919.88,249.09,0.5593,
AV0900CIEB,3474,1919.88,373.63,0.6711,
AV0900CIEB,3109,2055.80,31.14,0.4400,
AV0900CIEB,3162,2055.80,62.27,0.4698,
AV0900CIEB,3264,2055.80,124.54,0.5294,
AV0900CIEB,3459,2055.80,249.09,0.6562,
AV0900CIEB,3308,2191.72,31.14,0.5294,
AV0900CIEB,3357,2191.72,62.27,0.5593,
AV0900CIEB,3454,2191.72,124.54,0.6264,
AV1050CIEB,869,679.60,31.14,0.0149,
AV1050CIEB,1031,679.60,62.27,0.0298,
AV1050CIEB,1295,679.60,124.54,0.0522,
AV1050CIEB,1745,679.60,249.09,0.1044,
AV1050CIEB,1038,883.49,31.14,0.0298,
AV1050CIEB,1170,883.49,62.27,0.0373,
AV1050CIEB,1407,883.49,124.54,0.0671,
AV1050CIEB,1799,883.49,249.09,0.1268,
AV1050CIEB,2146,883.49,373.63,0.2013,
AV1050CIEB,2466,883.49,498.18,0.2834,
AV1050CIEB,1221,1087.37,31.14,0.0447,
AV1050CIEB,1330,1087.37,62.27,0.0597,
AV1050CIEB,1543,1087.37,124.54,0.0895,
AV1050CIEB,1894,1087.37,249.09,0.1641,
AV1050CIEB,2205,1087.37,373.63,0.2386,
AV1050CIEB,2493,1087.37,498.18,0.3281,
AV1050CIEB,2761,1087.37,622.72,0.4250,
AV1050CIEB,3020,1087.37,747.27,0.5220,
AV1050CIEB,1411,1291.25,31.14,0.0671,
AV1050CIEB,1504,1291.25,62.27,0.0820,
AV1050CIEB,1686,1291.25,124.54,0.1193,
AV1050CIEB,2017,1291.25,249.09,0.2013,
AV1050CIEB,2298,1291.25,373.63,0.2834,
AV1050CIEB,2561,1291.25,498.18,0.3803,
AV1050CIEB,2808,1291.25,622.72,0.4847,
AV1050CIEB,3043,1291.25,747.27,0.5891,
AV1050CIEB,3268,1291.25,871.81,0.7084,
AV1050CIEB,3487,1291.25,996.36,0.8203,
AV1050CIEB,1606,1495.13,31.14,0.0969,
AV1050CIEB,1687,1495.13,62.27,0.1193,
AV1050CIEB,1846,1495.13,124.54,0.1566,
AV1050CIEB,2153,1495.13,249.09,0.2461,
AV1050CIEB,2414,1495.13,373.63,0.3430,
AV1050CIEB,2656,1495.13,498.18,0.4400,
AV1050CIEB,2884,1495.13,622.72,0.5518,
AV1050CIEB,3103,1495.13,747.27,0.6637,
AV1050CIEB,3313,1495.13,871.81,0.7830,
AV1050CIEB,3515,1495.13,996.36,0.9098,
AV1050CIEB,1804,1699.01,31.14,0.1417,
AV1050CIEB,1876,1699.01,62.27,0.1566,
AV1050CIEB,2017,1699.01,124.54,0.2013,
AV1050CIEB,2292,1699.01,249.09,0.2983,
