modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV1225DIDWCEB,1046,2106.77,124.54,0.1119,
AV1225DIDWCEB,1363,2106.77,249.09,0.2312,
AV1225DIDWCEB,1153,2633.47,124.54,0.1566,
AV1225DIDWCEB,1417,2633.47,249.09,0.2759,
AV1225DIDWCEB,1910,2633.47,498.18,0.6115,
AV1225DIDWCEB,2308,2633.47,747.27,0.9918,
AV1225DIDWCEB,1267,3160.16,124.54,0.2088,
AV1225DIDWCEB,1514,3160.16,249.09,0.3430,
AV1225DIDWCEB,1938,3160.16,498.18,0.6786,
AV1225DIDWCEB,2335,3160.16,747.27,1.1036,
AV1225DIDWCEB,2671,3160.16,996.36,1.5585,
AV1225DIDWCEB,1393,3686.85,124.54,0.2759,
AV1225DIDWCEB,1622,3686.85,249.09,0.4325,
AV1225DIDWCEB,1997,3686.85,498.18,0.7755,
AV1225DIDWCEB,2363,3686.85,747.27,1.2155,
AV1225DIDWCEB,2699,3686.85,996.36,1.7151,
AV1225DIDWCEB,2994,3686.85,1245.44,2.2371,
AV1225DIDWCEB,1528,4213.55,124.54,0.3579,
AV1225DIDWCEB,1734,4213.55,249.09,0.5294,
AV1225DIDWCEB,2092,4213.55,498.18,0.9023,
AV1225DIDWCEB,2402,4213.55,747.27,1.3273,
AV1225DIDWCEB,2727,4213.55,996.36,1.8642,
AV1225DIDWCEB,3022,4213.55,1245.44,2.4310,
AV1225DIDWCEB,3289,4213.55,1494.53,3.0201,
AV1225DIDWCEB,1670,4740.24,124.54,0.4698,
AV1225DIDWCEB,1854,4740.24,249.09,0.6488,
AV1225DIDWCEB,2196,4740.24,498.18,1.0589,
AV1225DIDWCEB,2485,4740.24,747.27,1.4989,
AV1225DIDWCEB,2761,4740.24,996.36,1.9985,
AV1225DIDWCEB,3050,4740.24,1245.44,2.6099,
AV1225DIDWCEB,3318,4740.24,1494.53,3.2513,
AV1225DIDWCEB,3791,4740.24,1992.71,4.5711,
AV1225DIDWCEB,1815,5266.93,124.54,0.5966,
AV1225DIDWCEB,1983,5266.93,249.09,0.7904,
AV1225DIDWCEB,2305,5266.93,498.18,1.2379,
AV1225DIDWCEB,2583,5266.93,747.27,1.7077,
AV1225DIDWCEB,2833,5266.93,996.36,2.2073,
AV1225DIDWCEB,3084,5266.93,1245.44,2.7815,
AV1225DIDWCEB,3345,5266.93,1494.53,3.4600,
AV1225DIDWCEB,3820,5266.93,1992.71,4.8843,
AV1225DIDWCEB,4237,5266.93,2490.89,6.3608,
AV1225DIDWCEB,4617,5266.93,2989.07,7.9119,
AV1225DIDWCEB,1964,5793.63,124.54,0.7457,
AV1225DIDWCEB,2118,5793.63,249.09,0.9620,
AV1225DIDWCEB,2417,5793.63,498.18,1.4317,
AV1225DIDWCEB,2688,5793.63,747.27,1.9388,
AV1225DIDWCEB,2927,5793.63,996.36,2.4683,
AV1225DIDWCEB,3151,5793.63,1245.44,3.0350,
AV1225DIDWCEB,3381,5793.63,1494.53,3.6763,
AV1225DIDWCEB,3849,5793.63,1992.71,5.1826,
AV1225DIDWCEB,4265,5793.63,2490.89,6.7486,
AV1225DIDWCEB,4643,5793.63,2989.07,8.3891,
AV1225DIDWCEB,4991,5793.63,3487.24,10.0744,
AV1225DIDWCEB,2115,6320.32,124.54,0.9247,
AV1225DIDWCEB,2258,6320.32,249.09,1.1633,
AV1225DIDWCEB,2533,6320.32,498.18,1.6480,
AV1225DIDWCEB,2796,6320.32,747.27,2.1998,
AV1225DIDWCEB,3029,6320.32,996.36,2.7665,
AV1225DIDWCEB,3244,6320.32,1245.44,3.3556,
AV1225DIDWCEB,3448,6320.32,1494.53,3.9746,
AV1225DIDWCEB,3875,6320.32,1992.71,5.4436,
AV1225DIDWCEB,4295,6320.32,2490.89,7.1363,
AV1225DIDWCEB,4671,6320.32,2989.07,8.8515,
AV1225DIDWCEB,5018,6320.32,3487.24,10.6337,
AV1225DIDWCEB,2268,6847.01,124.54,1.1335,
AV1225DIDWCEB,2400,6847.01,249.09,1.3870,
AV1225DIDWCEB,2657,6847.01,498.18,1.9015,
AV1225DIDWCEB,2907,6847.01,747.27,2.4832,
AV1225DIDWCEB,3136,6847.01,996.36,3.0872,
AV1225DIDWCEB,3343,6847.01,1245.44,3.7061,
AV1225DIDWCEB,3540,6847.01,1494.53,4.3474,
AV1225DIDWCEB,3919,6847.01,1992.71,5.7568,
AV1225DIDWCEB,4321,6847.01,2490.89,7.4719,
AV1225DIDWCEB,4701,6847.01,2989.07,9.3138,
AV1225DIDWCEB,5046,6847.01,3487.24,11.1780,
AV1225DIDWCEB,2422,7373.71,124.54,1.3721,
AV1225DIDWCEB,2546,7373.71,249.09,1.6405,
AV1225DIDWCEB,2786,7373.71,498.18,2.1924,
