modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV0900DIDWCFAB,1029,3058.22,124.54,0.3952,
AV0900DIDWCFAB,1167,3058.22,186.82,0.4772,
AV0900DIDWCFAB,1292,3058.22,249.09,0.5667,
AV0900DIDWCFAB,1056,3228.12,124.54,0.4474,
AV0900DIDWCFAB,1188,3228.12,186.82,0.5294,
AV0900DIDWCFAB,1312,3228.12,249.09,0.6264,
AV0900DIDWCFAB,1085,3398.02,124.54,0.4996,
AV0900DIDWCFAB,1210,3398.02,186.82,0.5891,
AV0900DIDWCFAB,1332,3398.02,249.09,0.6860,
AV0900DIDWCFAB,1442,3398.02,311.36,0.7830,
AV0900DIDWCFAB,1115,3567.92,124.54,0.5593,
AV0900DIDWCFAB,1233,3567.92,186.82,0.6488,
AV0900DIDWCFAB,1352,3567.92,249.09,0.7532,
AV0900DIDWCFAB,1461,3567.92,311.36,0.8576,
AV0900DIDWCFAB,1146,3737.82,124.54,0.6264,
AV0900DIDWCFAB,1259,3737.82,186.82,0.7233,
AV0900DIDWCFAB,1373,3737.82,249.09,0.8277,
AV0900DIDWCFAB,1482,3737.82,311.36,0.9321,
AV0900DIDWCFAB,1581,3737.82,373.63,1.0365,
AV0900DIDWCFAB,1177,3907.72,124.54,0.7010,
AV0900DIDWCFAB,1286,3907.72,186.82,0.7979,
AV0900DIDWCFAB,1395,3907.72,249.09,0.9023,
AV0900DIDWCFAB,1502,3907.72,311.36,1.0142,
AV0900DIDWCFAB,1601,3907.72,373.63,1.1260,
AV0900DIDWCFAB,1209,4077.63,124.54,0.7755,
AV0900DIDWCFAB,1314,4077.63,186.82,0.8725,
AV0900DIDWCFAB,1418,4077.63,249.09,0.9843,
AV0900DIDWCFAB,1523,4077.63,311.36,1.1036,
AV0900DIDWCFAB,1621,4077.63,373.63,1.2155,
AV0900DIDWCFAB,1712,4077.63,435.91,1.3348,
AV0900DIDWCFAB,1275,4417.43,124.54,0.9470,
AV0900DIDWCFAB,1374,4417.43,186.82,1.0589,
AV0900DIDWCFAB,1470,4417.43,249.09,1.1707,
AV0900DIDWCFAB,1566,4417.43,311.36,1.2901,
AV0900DIDWCFAB,1662,4417.43,373.63,1.4168,
AV0900DIDWCFAB,1753,4417.43,435.91,1.5436,
AV0900DIDWCFAB,1837,4417.43,498.18,1.6704,
AV0900DIDWCFAB,1344,4757.23,124.54,1.1484,
AV0900DIDWCFAB,1436,4757.23,186.82,1.2602,
AV0900DIDWCFAB,1526,4757.23,249.09,1.3795,
AV0900DIDWCFAB,1615,4757.23,311.36,1.5063,
AV0900DIDWCFAB,1705,4757.23,373.63,1.6405,
AV0900DIDWCFAB,1794,4757.23,435.91,1.7748,
AV0900DIDWCFAB,1878,4757.23,498.18,1.9090,
AV0900DIDWCFAB,2033,4757.23,622.72,2.1774,
AV0900DIDWCFAB,1414,5097.03,124.54,1.3721,
AV0900DIDWCFAB,1501,5097.03,186.82,1.4989,
AV0900DIDWCFAB,1586,5097.03,249.09,1.6256,
AV0900DIDWCFAB,1669,5097.03,311.36,1.7524,
AV0900DIDWCFAB,1752,5097.03,373.63,1.8866,
AV0900DIDWCFAB,1836,5097.03,435.91,2.0283,
AV0900DIDWCFAB,1919,5097.03,498.18,2.1774,
AV0900DIDWCFAB,2073,5097.03,622.72,2.4683,
