modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV0913CFAB,458,509.70,31.14,0.0075,
AV0913CFAB,577,509.70,62.27,0.0149,
AV0913CFAB,706,509.70,93.41,0.0224,
AV0913CFAB,525,679.60,31.14,0.0149,
AV0913CFAB,633,679.60,62.27,0.0298,
AV0913CFAB,723,679.60,93.41,0.0373,
AV0913CFAB,808,679.60,124.54,0.0447,
AV0913CFAB,903,679.60,155.68,0.0522,
AV0913CFAB,598,849.51,31.14,0.0298,
AV0913CFAB,699,849.51,62.27,0.0447,
AV0913CFAB,782,849.51,93.41,0.0522,
AV0913CFAB,855,849.51,124.54,0.0597,
AV0913CFAB,924,849.51,155.68,0.0671,
AV0913CFAB,992,849.51,186.82,0.0820,
AV0913CFAB,1145,849.51,249.09,0.1044,
AV0913CFAB,690,1019.41,31.14,0.0522,
AV0913CFAB,762,1019.41,62.27,0.0597,
AV0913CFAB,847,1019.41,93.41,0.0746,
AV0913CFAB,917,1019.41,124.54,0.0820,
AV0913CFAB,980,1019.41,155.68,0.0969,
AV0913CFAB,1040,1019.41,186.82,0.1044,
AV0913CFAB,1154,1019.41,249.09,0.1268,
AV0913CFAB,1272,1019.41,311.36,0.1566,
AV0913CFAB,786,1189.31,31.14,0.0746,
AV0913CFAB,840,1189.31,62.27,0.0820,
AV0913CFAB,913,1189.31,93.41,0.0969,
AV0913CFAB,983,1189.31,124.54,0.1119,
AV0913CFAB,1044,1189.31,155.68,0.1268,
AV0913CFAB,1101,1189.31,186.82,0.1417,
AV0913CFAB,1205,1189.31,249.09,0.1641,
AV0913CFAB,1304,1189.31,311.36,0.1939,
AV0913CFAB,1401,1189.31,373.63,0.2237,
AV0913CFAB,1505,1189.31,435.91,0.2535,
AV0913CFAB,886,1359.21,31.14,0.1119,
AV0913CFAB,930,1359.21,62.27,0.1193,
AV0913CFAB,982,1359.21,93.41,0.1342,
AV0913CFAB,1049,1359.21,124.54,0.1491,
AV0913CFAB,1111,1359.21,155.68,0.1641,
AV0913CFAB,1165,1359.21,186.82,0.1864,
AV0913CFAB,1266,1359.21,249.09,0.2163,
AV0913CFAB,1357,1359.21,311.36,0.2461,
AV0913CFAB,1445,1359.21,373.63,0.2685,
AV0913CFAB,1529,1359.21,435.91,0.2983,
AV0913CFAB,1616,1359.21,498.18,0.3356,
AV0913CFAB,987,1529.11,31.14,0.1566,
AV0913CFAB,1025,1529.11,62.27,0.1641,
AV0913CFAB,1066,1529.11,93.41,0.1790,
AV0913CFAB,1115,1529.11,124.54,0.1939,
AV0913CFAB,1176,1529.11,155.68,0.2088,
AV0913CFAB,1234,1529.11,186.82,0.2312,
AV0913CFAB,1330,1529.11,249.09,0.2685,
AV0913CFAB,1419,1529.11,311.36,0.3057,
AV0913CFAB,1501,1529.11,373.63,0.3356,
AV0913CFAB,1581,1529.11,435.91,0.3654,
AV0913CFAB,1656,1529.11,498.18,0.4027,
AV0913CFAB,1090,1699.01,31.14,0.2163,
AV0913CFAB,1122,1699.01,62.27,0.2237,
AV0913CFAB,1158,1699.01,93.41,0.2312,
AV0913CFAB,1197,1699.01,124.54,0.2461,
AV0913CFAB,1242,1699.01,155.68,0.2610,
AV0913CFAB,1296,1699.01,186.82,0.2834,
AV0913CFAB,1397,1699.01,249.09,0.3281,
AV0913CFAB,1483,1699.01,311.36,0.3728,
AV0913CFAB,1563,1699.01,373.63,0.4176,
AV0913CFAB,1638,1699.01,435.91,0.4474,
AV0913CFAB,1710,1699.01,498.18,0.4847,
AV0913CFAB,1193,1868.91,31.14,0.2834,
AV0913CFAB,1222,1868.91,62.27,0.2908,
AV0913CFAB,1253,1868.91,93.41,0.3057,
AV0913CFAB,1286,1868.91,124.54,0.3207,
AV0913CFAB,1323,1868.91,155.68,0.3356,
AV0913CFAB,1364,1868.91,186.82,0.3505,
AV0913CFAB,1467,1868.91,249.09,0.4027,
AV0913CFAB,1550,1868.91,311.36,0.4474,
AV0913CFAB,1627,1868.91,373.63,0.4922,
AV0913CFAB,1701,1868.91,435.91,0.5444,
AV0913CFAB,1770,1868.91,498.18,0.5816,
AV0913CFAB,1296,2038.81,31.14,0.3654,
AV0913CFAB,1322,2038.81,62.27,0.3803,
AV0913CFAB,1350,2038.81,93.41,0.3878,
AV0913CFAB,1379,2038.81,124.54,0.4027,
AV0913CFAB,1411,2038.81,155.68,0.4176,
AV0913CFAB,1445,2038.81,186.82,0.4325,
AV0913CFAB,1525,2038.81,249.09,0.4772,
AV0913CFAB,1619,2038.81,311.36,0.5294,
AV0913CFAB,1694,2038.81,373.63,0.5816,
AV0913CFAB,1765,2038.81,435.91,0.6338,
AV0913CFAB,1834,2038.81,498.18,0.6860,
AV0913CFAB,1400,2208.71,31.14,0.4623,
AV0913CFAB,1424,2208.71,62.27,0.4772,
AV0913CFAB,1449,2208.71,93.41,0.4847,
AV0913CFAB,1475,2208.71,124.54,0.4996,
AV0913CFAB,1503,2208.71,155.68,0.5145,
AV0913CFAB,1532,2208.71,186.82,0.5294,
AV0913CFAB,1598,2208.71,249.09,0.5667,
AV0913CFAB,1678,2208.71,311.36,0.6189,
AV0913CFAB,1764,2208.71,373.63,0.6860,
AV0913CFAB,1504,2378.62,31.14,0.5742,
AV0913CFAB,1526,2378.62,62.27,0.5891,
AV0913CFAB,1549,2378.62,93.41,0.6040,
AV0913CFAB,1573,2378.62,124.54,0.6189,
AV0913CFAB,1598,2378.62,155.68,0.6338,
AV0913CFAB,1624,2378.62,186.82,0.6488,
AV1063CFAB,445,1019.41,31.14,0.0298,
AV1063CFAB,545,1019.41,62.27,0.0447,
AV1063CFAB,635,1019.41,93.41,0.0597,
AV1063CFAB,710,1019.41,124.54,0.0746,
AV1063CFAB,785,1019.41,155.68,0.0820,
AV1063CFAB,857,1019.41,186.82,0.0969,
AV1063CFAB,480,1189.31,31.14,0.0447,
AV1063CFAB,580,1189.31,62.27,0.0597,
AV1063CFAB,661,1189.31,93.41,0.0746,
AV1063CFAB,734,1189.31,124.54,0.0895,
AV1063CFAB,799,1189.31,155.68,0.1044,
