modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
25GSC,1560,0.00,80.00,0.04700,
25GSC,1560,200.00,75.00,0.04700,
25GSC,1560,400.00,68.00,0.04700,
25GSC,1560,600.00,60.00,0.04700,
25GSC,1560,800.00,52.00,0.04700,
25GSC,1560,1000.00,42.00,0.04700,
25GSC,1560,1150.00,22.00,0.04700,
25GSC,1560,1250.00,0.00,0.04700,
30GSC,1560,0.00,107.00,0.08000,
30GSC,1560,250.00,98.00,0.08000,
30GSC,1560,500.00,85.00,0.08000,
30GSC,1560,750.00,73.00,0.08000,
30GSC,1560,1000.00,63.00,0.08000,
30GSC,1560,1300.00,52.00,0.08000,
30GSC,1560,1600.00,40.00,0.08000,
30GSC,1560,1900.00,18.00,0.08000,
30GSC,1560,2080.00,0.00,0.08000,
35GSC,1660,0.00,120.00,0.12700,
35GSC,1660,500.00,108.00,0.12700,
35GSC,1660,1000.00,98.00,0.12700,
35GSC,1660,1500.00,85.00,0.12700,
35GSC,1660,2000.00,72.00,0.12700,
35GSC,1660,2400.00,55.00,0.12700,
35GSC,1660,2700.00,35.00,0.12700,
35GSC,1660,2900.00,10.00,0.12700,
35GSC,1660,2940.00,0.00,0.12700,
40GSC,1710,0.00,290.00,0.21000,
40GSC,1710,500.00,230.00,0.21000,
40GSC,1710,1000.00,180.00,0.21000,
40GSC,1710,1500.00,155.00,0.21000,
40GSC,1710,2000.00,145.00,0.21000,
40GSC,1710,2500.00,140.00,0.21000,
40GSC,1710,3000.00,122.00,0.21000,
40GSC,1710,3500.00,82.00,0.21000,
40GSC,1710,4000.00,30.00,0.21000,
40GSC,1710,4240.00,0.00,0.21000,
45GSC,1630,0.00,118.00,0.32500,
45GSC,1630,1500.00,116.00,0.32500,
45GSC,1630,3000.00,110.00,0.32500,
45GSC,1630,4000.00,100.00,0.32500,
45GSC,1630,4700.00,88.00,0.32500,
45GSC,1630,5200.00,68.00,0.32500,
45GSC,1630,5600.00,40.00,0.32500,
45GSC,1630,5850.00,15.00,0.32500,
45GSC,1630,5970.00,0.00,0.32500,
50GSC,1130,0.00,112.00,0.32600,
50GSC,1130,2500.00,110.00,0.32600,
50GSC,1130,4000.00,105.00,0.32600,
50GSC,1130,4800.00,98.00,0.32600,
50GSC,1130,5500.00,80.00,0.32600,
50GSC,1130,6200.00,55.00,0.32600,
50GSC,1130,6800.00,25.00,0.32600,
50GSC,1130,7100.00,0.00,0.32600,
60GSC,1150,0.00,145.00,0.36100,
60GSC,1150,3000.00,142.00,0.36100,
60GSC,1150,5000.00,135.00,0.36100,
60GSC,1150,6400.00,120.00,0.36100,
60GSC,1150,7500.00,95.00,0.36100,
60GSC,1150,8500.00,60.00,0.36100,
60GSC,1150,9200.00,20.00,0.36100,
60GSC,1150,9410.00,0.00,0.36100,
