modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV1650HPB,774,1699.01,124.54,0.0895,
AV1650HPB,1031,1699.01,249.09,0.1939,
AV1650HPB,827,2038.81,124.54,0.1044,
AV1650HPB,1051,2038.81,249.09,0.2088,
AV1650HPB,885,2378.62,124.54,0.1268,
AV1650HPB,1091,2378.62,249.09,0.2386,
AV1650HPB,1276,2378.62,373.63,0.3728,
AV1650HPB,1457,2378.62,498.18,0.5369,
AV1650HPB,947,2718.42,124.54,0.1566,
AV1650HPB,1141,2718.42,249.09,0.2759,
AV1650HPB,1311,2718.42,373.63,0.4101,
AV1650HPB,1471,2718.42,498.18,0.5667,
AV1650HPB,1630,2718.42,622.72,0.7606,
AV1650HPB,1017,3058.22,124.54,0.1864,
AV1650HPB,1199,3058.22,249.09,0.3207,
AV1650HPB,1355,3058.22,373.63,0.4623,
AV1650HPB,1503,3058.22,498.18,0.6189,
AV1650HPB,1646,3058.22,622.72,0.7979,
AV1650HPB,1787,3058.22,747.27,0.9992,
AV1650HPB,1094,3398.02,124.54,0.2312,
AV1650HPB,1258,3398.02,249.09,0.3728,
AV1650HPB,1409,3398.02,373.63,0.5294,
AV1650HPB,1546,3398.02,498.18,0.6860,
AV1650HPB,1678,3398.02,622.72,0.8650,
AV1650HPB,1806,3398.02,747.27,1.0514,
AV1650HPB,1933,3398.02,871.81,1.2751,
AV1650HPB,2060,3398.02,996.36,1.5287,
AV1650HPB,1173,3737.82,124.54,0.2834,
AV1650HPB,1319,3737.82,249.09,0.4250,
AV1650HPB,1466,3737.82,373.63,0.5891,
AV1650HPB,1596,3737.82,498.18,0.7606,
AV1650HPB,1720,3737.82,622.72,0.9470,
AV1650HPB,1840,3737.82,747.27,1.1409,
AV1650HPB,1956,3737.82,871.81,1.3423,
AV1650HPB,2071,3737.82,996.36,1.5734,
AV1650HPB,2187,3737.82,1120.90,1.8419,
AV1650HPB,1254,4077.63,124.54,0.3356,
AV1650HPB,1386,4077.63,249.09,0.4847,
AV1650HPB,1525,4077.63,373.63,0.6637,
AV1650HPB,1652,4077.63,498.18,0.8501,
AV1650HPB,1768,4077.63,622.72,1.0365,
