modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
CK200,2730,0.00,631.00,0.22000,
CK200,2730,180.00,615.00,0.22000,
CK200,2730,360.00,585.00,0.22000,
CK200,2730,540.00,535.00,0.22000,
CK200,2730,720.00,460.00,0.22000,
CK200,2730,900.00,355.00,0.22000,
CK200,2730,1080.00,190.00,0.22000,
CK200,2730,1159.00,0.00,0.22000,
CK250,2530,0.00,554.00,0.16500,
CK250,2530,180.00,520.00,0.16500,
CK250,2530,360.00,470.00,0.16500,
CK250,2530,540.00,410.00,0.16500,
CK250,2530,720.00,330.00,0.16500,
CK250,2530,900.00,230.00,0.16500,
CK250,2530,1080.00,70.00,0.16500,
CK250,2530,1120.00,0.00,0.16500,
CK315,2655,0.00,791.00,0.30500,
CK315,2655,180.00,760.00,0.30500,
CK315,2655,360.00,720.00,0.30500,
CK315,2655,540.00,665.00,0.30500,
CK315,2655,720.00,590.00,0.30500,
CK315,2655,900.00,500.00,0.30500,
CK315,2655,1080.00,395.00,0.30500,
CK315,2655,1260.00,270.00,0.30500,
CK315,2655,1440.00,120.00,0.30500,
CK315,2655,1584.00,0.00,0.30500,
