modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
10CGB15,0,0.00,95.00,0.01200,
10CGB15,0,30.00,88.00,0.01200,
10CGB15,0,60.00,76.00,0.01200,
10CGB15,0,90.00,58.00,0.01200,
10CGB15,0,110.00,38.00,0.01200,
10CGB15,0,125.00,15.00,0.01200,
10CGB15,0,132.00,0.00,0.01200,
12CGB15,0,0.00,140.00,0.02500,
12CGB15,0,60.00,118.00,0.02500,
12CGB15,0,120.00,90.00,0.02500,
12CGB15,0,160.00,65.00,0.02500,
12CGB15,0,200.00,32.00,0.02500,
12CGB15,0,225.00,8.00,0.02500,
12CGB15,0,235.00,0.00,0.02500,
14CGB15,0,0.00,135.00,0.03000,
14CGB15,0,60.00,125.00,0.03000,
14CGB15,0,120.00,108.00,0.03000,
14CGB15,0,180.00,80.00,0.03000,
14CGB15,0,220.00,48.00,0.03000,
14CGB15,0,245.00,15.00,0.03000,
14CGB15,0,258.00,0.00,0.03000,
16CGB15,0,0.00,215.00,0.05700,
16CGB15,0,120.00,180.00,0.05700,
16CGB15,0,240.00,140.00,0.05700,
16CGB15,0,360.00,95.00,0.05700,
16CGB15,0,450.00,50.00,0.05700,
16CGB15,0,490.00,15.00,0.05700,
16CGB15,0,510.00,0.00,0.05700,
17CGB15,0,0.00,240.00,0.09500,
17CGB15,0,150.00,200.00,0.09500,
17CGB15,0,300.00,155.00,0.09500,
17CGB15,0,450.00,110.00,0.09500,
17CGB15,0,600.00,58.00,0.09500,
17CGB15,0,700.00,20.00,0.09500,
17CGB15,0,730.00,0.00,0.09500,
19CGB15,0,0.00,300.00,0.10700,
19CGB15,0,180.00,258.00,0.10700,
19CGB15,0,360.00,215.00,0.10700,
19CGB15,0,540.00,160.00,0.10700,
19CGB15,0,720.00,95.00,0.10700,
19CGB15,0,840.00,30.00,0.10700,
19CGB15,0,880.00,0.00,0.10700,
21CGB15,0,0.00,390.00,0.32800,
21CGB15,0,360.00,335.00,0.32800,
21CGB15,0,720.00,265.00,0.32800,
21CGB15,0,1080.00,175.00,0.32800,
21CGB15,0,1300.00,90.00,0.32800,
21CGB15,0,1440.00,0.00,0.32800,
