modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV1225CPF,1064,1168.92,124.54,0.0671,
AV1225CPF,1393,1168.92,249.09,0.1417,
AV1225CPF,1140,1461.15,124.54,0.0895,
AV1225CPF,1456,1461.15,249.09,0.1715,
AV1225CPF,1711,1461.15,373.63,0.2685,
AV1225CPF,1941,1461.15,498.18,0.3728,
AV1225CPF,1234,1753.38,124.54,0.1119,
AV1225CPF,1530,1753.38,249.09,0.2088,
AV1225CPF,1774,1753.38,373.63,0.3132,
AV1225CPF,1988,1753.38,498.18,0.4250,
AV1225CPF,2187,1753.38,622.72,0.5444,
AV1225CPF,2373,1753.38,747.27,0.6786,
AV1225CPF,1338,2045.61,124.54,0.1417,
AV1225CPF,1606,2045.61,249.09,0.2461,
AV1225CPF,1848,2045.61,373.63,0.3654,
AV1225CPF,2054,2045.61,498.18,0.4847,
AV1225CPF,2240,2045.61,622.72,0.6115,
AV1225CPF,2416,2045.61,747.27,0.7532,
AV1225CPF,2583,2045.61,871.81,0.8948,
AV1225CPF,2742,2045.61,996.36,1.0514,
AV1225CPF,2895,2045.61,1120.90,1.2080,
AV1225CPF,1448,2337.84,124.54,0.1790,
AV1225CPF,1697,2337.84,249.09,0.2908,
AV1225CPF,1922,2337.84,373.63,0.4176,
AV1225CPF,2128,2337.84,498.18,0.5518,
AV1225CPF,2309,2337.84,622.72,0.6935,
AV1225CPF,2475,2337.84,747.27,0.8352,
AV1225CPF,2634,2337.84,871.81,0.9918,
AV1225CPF,2786,2337.84,996.36,1.1484,
AV1225CPF,2932,2337.84,1120.90,1.3124,
AV1225CPF,3072,2337.84,1245.44,1.4839,
AV1225CPF,1563,2630.07,124.54,0.2237,
AV1225CPF,1797,2630.07,249.09,0.3505,
AV1225CPF,2004,2630.07,373.63,0.4772,
AV1225CPF,2201,2630.07,498.18,0.6264,
AV1225CPF,2383,2630.07,622.72,0.7755,
AV1225CPF,2547,2630.07,747.27,0.9321,
AV1225CPF,2699,2630.07,871.81,1.0962,
AV1225CPF,2843,2630.07,996.36,1.2602,
AV1225CPF,2982,2630.07,1120.90,1.4317,
AV1225CPF,3117,2630.07,1245.44,1.6107,
AV1225CPF,3375,2630.07,1494.53,1.9910,
AV1225CPF,3619,2630.07,1743.62,2.3862,
AV1225CPF,1683,2922.30,124.54,0.2759,
AV1225CPF,1904,2922.30,249.09,0.4101,
AV1225CPF,2098,2922.30,373.63,0.5518,
AV1225CPF,2280,2922.30,498.18,0.7010,
AV1225CPF,2456,2922.30,622.72,0.8650,
AV1225CPF,2621,2922.30,747.27,1.0365,
AV1225CPF,2772,2922.30,871.81,1.2080,
AV1225CPF,2912,2922.30,996.36,1.3870,
AV1225CPF,3045,2922.30,1120.90,1.5660,
AV1225CPF,3174,2922.30,1245.44,1.7524,
AV1225CPF,3422,2922.30,1494.53,2.1402,
AV1225CPF,3658,2922.30,1743.62,2.5578,
AV1225CPF,3882,2922.30,1992.71,2.9903,
AV1225CPF,1809,3214.53,124.54,0.3430,
AV1225CPF,2013,3214.53,249.09,0.4847,
AV1225CPF,2199,3214.53,373.63,0.6338,
AV1225CPF,2369,3214.53,498.18,0.7904,
AV1225CPF,2534,3214.53,622.72,0.9620,
AV1225CPF,2694,3214.53,747.27,1.1409,
AV1225CPF,2846,3214.53,871.81,1.3273,
AV1225CPF,2987,3214.53,996.36,1.5212,
AV1225CPF,3118,3214.53,1120.90,1.7077,
AV1225CPF,3243,3214.53,1245.44,1.9090,
AV1225CPF,3480,3214.53,1494.53,2.3117,
AV1225CPF,3707,3214.53,1743.62,2.7367,
AV1225CPF,3924,3214.53,1992.71,3.1841,
AV1225CPF,1938,3506.76,124.54,0.4176,
AV1225CPF,2126,3506.76,249.09,0.5667,
AV1225CPF,2305,3506.76,373.63,0.7308,
AV1225CPF,2467,3506.76,498.18,0.9023,
AV1225CPF,2621,3506.76,622.72,1.0738,
AV1225CPF,2772,3506.76,747.27,1.2602,
AV1225CPF,2919,3506.76,871.81,1.4541,
AV1225CPF,3060,3506.76,996.36,1.6555,
AV1225CPF,3192,3506.76,1120.90,1.8642,
AV1225CPF,3317,3506.76,1245.44,2.0730,
AV1225CPF,3549,3506.76,1494.53,2.4981,
