modelCode,family,name,description,sizeLabel,uom,basePrice,currency,specsJson
AV2000PRV,PROPELLER,"Power Roof Ventilator 20"" Propeller (PRV)","Power Roof Ventilator
Propeller Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV2000PRV",20,unit,20460,PHP,"{""bladeDia_in"":20,""bladeAngle_deg"":32,""outletArea_ft2"":2.405,""maxRpm"":1200,""propeller"":true,""bladeType"":""Propeller"",""drive"":""belt"",""category"":""Propeller Type"",""type"":""Power Roof Ventilator"",""tag"":""PRV"",""motorTable"":[[0.25,0.27],[0.333,0.37],[0.5,0.55],[0.75,0.82]]}"
AV2400PRV,PROPELLER,"Power Roof Ventilator 24"" Propeller (PRV)","Power Roof Ventilator
Propeller Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV2400PRV",24,unit,24552,PHP,"{""bladeDia_in"":24,""bladeAngle_deg"":30,""outletArea_ft2"":3.409,""maxRpm"":1200,""propeller"":true,""bladeType"":""Propeller"",""drive"":""belt"",""category"":""Propeller Type"",""type"":""Power Roof Ventilator"",""tag"":""PRV"",""motorTable"":[[0.333,0.37],[0.5,0.55],[0.75,0.82],[1,1.1]]}"
AV3000PRV,PROPELLER,"Power Roof Ventilator 30"" Propeller (PRV)","Power Roof Ventilator
Propeller Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV3000PRV",30,unit,30690,PHP,"{""bladeDia_in"":30,""bladeAngle_deg"":35,""outletArea_ft2"":5.241,""maxRpm"":1200,""propeller"":true,""bladeType"":""Propeller"",""drive"":""belt"",""category"":""Propeller Type"",""type"":""Power Roof Ventilator"",""tag"":""PRV"",""motorTable"":[[0.5,0.55],[0.75,0.82],[1,1.1],[1.5,1.65],[2,2.2],[3,3.3]]}"
AV3600PRV,PROPELLER,"Power Roof Ventilator 36"" Propeller (PRV)","Power Roof Ventilator
Propeller Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV3600PRV",36,unit,36828,PHP,"{""bladeDia_in"":36,""bladeAngle_deg"":35,""outletArea_ft2"":7.467,""maxRpm"":1200,""propeller"":true,""bladeType"":""Propeller"",""drive"":""belt"",""category"":""Propeller Type"",""type"":""Power Roof Ventilator"",""tag"":""PRV"",""motorTable"":[[0.75,0.82],[1,1.1],[1.5,1.65],[2,2.2],[3,3.3],[5,5.5]]}"
AV4200PRV,PROPELLER,"Power Roof Ventilator 42"" Propeller (PRV)","Power Roof Ventilator
Propeller Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV4200PRV",42,unit,42966,PHP,"{""bladeDia_in"":42,""bladeAngle_deg"":40,""outletArea_ft2"":10.085,""maxRpm"":1200,""propeller"":true,""bladeType"":""Propeller"",""drive"":""belt"",""category"":""Propeller Type"",""type"":""Power Roof Ventilator"",""tag"":""PRV"",""motorTable"":[[1,1.1],[1.5,1.65],[2,2.2],[3,3.3],[5,5.5]]}"
AV4800PRV,PROPELLER,"Power Roof Ventilator 48"" Propeller (PRV)","Power Roof Ventilator
Propeller Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV4800PRV",48,unit,51480,PHP,"{""bladeDia_in"":48,""bladeAngle_deg"":35,""outletArea_ft2"":13.095,""maxRpm"":1200,""propeller"":true,""bladeType"":""Propeller"",""drive"":""belt"",""category"":""Propeller Type"",""type"":""Power Roof Ventilator"",""tag"":""PRV"",""motorTable"":[[1.5,1.65],[2,2.2],[3,3.3],[5,5.5],[7.5,8.23]]}"
AV5400PRV,PROPELLER,"Power Roof Ventilator 54"" Propeller (PRV)","Power Roof Ventilator
Propeller Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV5400PRV",54,unit,60588,PHP,"{""bladeDia_in"":54,""bladeAngle_deg"":40,""outletArea_ft2"":16.499,""maxRpm"":1200,""propeller"":true,""bladeType"":""Propeller"",""drive"":""belt"",""category"":""Propeller Type"",""type"":""Power Roof Ventilator"",""tag"":""PRV"",""motorTable"":[[1.5,1.65],[2,2.2],[3,3.3],[5,5.51],[7.5,8.27],[10,11.04]]}"
AV6000PRV,PROPELLER,"Power Roof Ventilator 60"" Propeller (PRV)","Power Roof Ventilator
Propeller Type / Belt Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV6000PRV",60,unit,74250,PHP,"{""bladeDia_in"":60,""bladeAngle_deg"":40,""outletArea_ft2"":20.295,""maxRpm"":1200,""propeller"":true,""bladeType"":""Propeller"",""drive"":""belt"",""category"":""Propeller Type"",""type"":""Power Roof Ventilator"",""tag"":""PRV"",""motorTable"":[[1.5,1.66],[2,2.2],[3,3.31],[5,5.51],[7.5,8.25],[10,11.03]]}"
AV1200PRVDD,PROPELLER,"Power Roof Ventilator 12"" Propeller (PRVDD)","Power Roof Ventilator
Propeller Type / Direct Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1200PRVDD",12,unit,12276,PHP,"{""bladeDia_in"":12,""bladeAngle_deg"":24,""outletArea_ft2"":0.922,""maxRpm"":1750,""propeller"":true,""bladeType"":""Propeller"",""drive"":""direct"",""category"":""Propeller Type"",""type"":""Power Roof Ventilator"",""tag"":""PRVDD"",""motorTable"":[[0.25,0.26],[0.333,0.32]],""fixedSpeedDirect"":true}"
AV1600PRVDD,PROPELLER,"Power Roof Ventilator 16"" Propeller (PRVDD)","Power Roof Ventilator
Propeller Type / Direct Drive
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1600PRVDD",16,unit,16368,PHP,"{""bladeDia_in"":16,""bladeAngle_deg"":24,""outletArea_ft2"":1.576,""maxRpm"":1750,""propeller"":true,""bladeType"":""Propeller"",""drive"":""direct"",""category"":""Propeller Type"",""type"":""Power Roof Ventilator"",""tag"":""PRVDD"",""motorTable"":[[0.333,0.34],[0.5,0.55]],""fixedSpeedDirect"":true}"
