modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV1281CMH,1206,550.48,249.09,0.0746,
AV1281CMH,1607,550.48,498.18,0.1342,
AV1281CMH,2208,550.48,996.36,0.2759,
AV1281CMH,2679,550.48,1494.53,0.4250,
AV1281CMH,3080,550.48,1992.71,0.5966,
AV1281CMH,1306,733.97,249.09,0.1044,
AV1281CMH,1683,733.97,498.18,0.1864,
AV1281CMH,2257,733.97,996.36,0.3654,
AV1281CMH,2717,733.97,1494.53,0.5444,
AV1281CMH,3110,733.97,1992.71,0.7382,
AV1281CMH,3776,733.97,2989.07,1.1633,
AV1281CMH,1420,917.47,249.09,0.1566,
AV1281CMH,1777,917.47,498.18,0.2535,
AV1281CMH,2324,917.47,996.36,0.4623,
AV1281CMH,2768,917.47,1494.53,0.6786,
AV1281CMH,3153,917.47,1992.71,0.9098,
AV1281CMH,3808,917.47,2989.07,1.3795,
AV1281CMH,4365,917.47,3985.42,1.8866,
AV1281CMH,4859,917.47,4981.78,2.4310,
AV1281CMH,5308,917.47,5978.13,3.0201,
AV1281CMH,1543,1100.96,249.09,0.2163,
AV1281CMH,1884,1100.96,498.18,0.3281,
AV1281CMH,2408,1100.96,996.36,0.5742,
AV1281CMH,2835,1100.96,1494.53,0.8277,
AV1281CMH,3207,1100.96,1992.71,1.0813,
AV1281CMH,3850,1100.96,2989.07,1.6331,
AV1281CMH,4400,1100.96,3985.42,2.1924,
AV1281CMH,4887,1100.96,4981.78,2.7815,
AV1281CMH,5330,1100.96,5978.13,3.4004,
AV1281CMH,1674,1284.45,249.09,0.2908,
AV1281CMH,1999,1284.45,498.18,0.4250,
AV1281CMH,2504,1284.45,996.36,0.7010,
AV1281CMH,2916,1284.45,1494.53,0.9918,
AV1281CMH,3277,1284.45,1992.71,1.2826,
AV1281CMH,3901,1284.45,2989.07,1.8866,
AV1281CMH,4443,1284.45,3985.42,2.5279,
AV1281CMH,4924,1284.45,4981.78,3.1767,
AV1281CMH,5362,1284.45,5978.13,3.8478,
AV1281CMH,1812,1467.95,249.09,0.3952,
AV1281CMH,2120,1467.95,498.18,0.5444,
AV1281CMH,2609,1467.95,996.36,0.8501,
AV1281CMH,3008,1467.95,1494.53,1.1707,
AV1281CMH,3357,1467.95,1992.71,1.4989,
AV1281CMH,3965,1467.95,2989.07,2.1774,
AV1281CMH,4493,1467.95,3985.42,2.8709,
AV1281CMH,4968,1467.95,4981.78,3.5943,
AV1281CMH,5401,1467.95,5978.13,4.3325,
AV1281CMH,1954,1651.44,249.09,0.5071,
AV1281CMH,2247,1651.44,498.18,0.6860,
AV1281CMH,2720,1651.44,996.36,1.0216,
AV1281CMH,3107,1651.44,1494.53,1.3795,
AV1281CMH,3447,1651.44,1992.71,1.7375,
AV1281CMH,4039,1651.44,2989.07,2.4906,
AV1281CMH,4555,1651.44,3985.42,3.2438,
AV1281CMH,5020,1651.44,4981.78,4.0268,
AV1281CMH,5446,1651.44,5978.13,4.8321,
AV1281CMH,2101,1834.93,249.09,0.6488,
AV1281CMH,2380,1834.93,498.18,0.8501,
AV1281CMH,2836,1834.93,996.36,1.2229,
AV1281CMH,3214,1834.93,1494.53,1.6107,
AV1281CMH,3545,1834.93,1992.71,2.0059,
AV1281CMH,4122,1834.93,2989.07,2.8187,
AV1281CMH,4627,1834.93,3985.42,3.6539,
AV1281CMH,5081,1834.93,4981.78,4.4966,
AV1281CMH,2252,2018.42,249.09,0.8203,
AV1281CMH,2517,2018.42,498.18,1.0440,
AV1281CMH,2956,2018.42,996.36,1.4541,
AV1281CMH,3325,2018.42,1494.53,1.8717,
AV1281CMH,3648,2018.42,1992.71,2.2968,
AV1281CMH,4213,2018.42,2989.07,3.1841,
AV1281CMH,4705,2018.42,3985.42,4.0790,
AV1281CMH,5151,2018.42,4981.78,4.9962,
AV1281CMH,2409,2201.92,249.09,1.0216,
AV1281CMH,2658,2201.92,498.18,1.2602,
AV1281CMH,3081,2201.92,996.36,1.7226,
AV1281CMH,3440,2201.92,1494.53,2.1700,
AV1281CMH,3757,2201.92,1992.71,2.6249,
AV1281CMH,4309,2201.92,2989.07,3.5719,
AV1281CMH,4791,2201.92,3985.42,4.5413,
AV1281CMH,5227,2201.92,4981.78,5.5256,
AV1281CMH,2570,2385.41,249.09,1.2602,
AV1281CMH,2801,2385.41,498.18,1.5063,
AV1281CMH,3210,2385.41,996.36,2.0134,
AV1281CMH,3559,2385.41,1494.53,2.4981,
AV1281CMH,3870,2385.41,1992.71,2.9903,
AV1281CMH,4410,2385.41,2989.07,3.9970,
AV1281CMH,4884,2385.41,3985.42,5.0335,
AV1281CMH,5311,2385.41,4981.78,6.0775,
AV1281CMH,2733,2568.90,249.09,1.5287,
