modelCode,family,name,description,sizeLabel,uom,basePrice,currency,specsJson
AV1281CMA,CENTRIFUGAL,"Radial Blower 12.812"" Ring Paddle Wheel (CMA)","Radial Blower / Centrifugal Material Handling
Ring Paddle Wheel / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel / Model: AV1281CMA",12.812,unit,58689,PHP,"{""bladeDia_in"":12.812,""outletArea_ft2"":0.27,""maxRpm"":5282,""bladeType"":""Ring Paddle Wheel"",""drive"":""belt"",""category"":""Centrifugal Type"",""type"":""Radial Blower"",""tag"":""CMA""}"
AV1562CMA,CENTRIFUGAL,"Radial Blower 15.625"" Ring Paddle Wheel (CMA)","Radial Blower / Centrifugal Material Handling
Ring Paddle Wheel / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel / Model: AV1562CMA",15.625,unit,73170,PHP,"{""bladeDia_in"":15.625,""outletArea_ft2"":0.44,""maxRpm"":4141,""bladeType"":""Ring Paddle Wheel"",""drive"":""belt"",""category"":""Centrifugal Type"",""type"":""Radial Blower"",""tag"":""CMA""}"
AV1912CMA,CENTRIFUGAL,"Radial Blower 19.125"" Ring Paddle Wheel (CMA)","Radial Blower / Centrifugal Material Handling
Ring Paddle Wheel / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel / Model: AV1912CMA",19.125,unit,104931,PHP,"{""bladeDia_in"":19.125,""outletArea_ft2"":0.66,""maxRpm"":3988,""bladeType"":""Ring Paddle Wheel"",""drive"":""belt"",""category"":""Centrifugal Type"",""type"":""Radial Blower"",""tag"":""CMA""}"
AV2262CMA,CENTRIFUGAL,"Radial Blower 22.625"" Ring Paddle Wheel (CMA)","Radial Blower / Centrifugal Material Handling
Ring Paddle Wheel / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel / Model: AV2262CMA",22.625,unit,109962,PHP,"{""bladeDia_in"":22.625,""outletArea_ft2"":0.93,""maxRpm"":3333,""bladeType"":""Ring Paddle Wheel"",""drive"":""belt"",""category"":""Centrifugal Type"",""type"":""Radial Blower"",""tag"":""CMA""}"
AV2612CMA,CENTRIFUGAL,"Radial Blower 26.125"" Ring Paddle Wheel (CMA)","Radial Blower / Centrifugal Material Handling
Ring Paddle Wheel / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel / Model: AV2612CMA",26.125,unit,142902,PHP,"{""bladeDia_in"":26.125,""outletArea_ft2"":1.24,""maxRpm"":2893,""bladeType"":""Ring Paddle Wheel"",""drive"":""belt"",""category"":""Centrifugal Type"",""type"":""Radial Blower"",""tag"":""CMA""}"
AV2962CMA,CENTRIFUGAL,"Radial Blower 29.625"" Ring Paddle Wheel (CMA)","Radial Blower / Centrifugal Material Handling
Ring Paddle Wheel / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel / Model: AV2962CMA",29.625,unit,158469,PHP,"{""bladeDia_in"":29.625,""outletArea_ft2"":1.59,""maxRpm"":2550,""bladeType"":""Ring Paddle Wheel"",""drive"":""belt"",""category"":""Centrifugal Type"",""type"":""Radial Blower"",""tag"":""CMA""}"
AV3300CMA,CENTRIFUGAL,"Radial Blower 33"" Ring Paddle Wheel (CMA)","Radial Blower / Centrifugal Material Handling
Ring Paddle Wheel / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel / Model: AV3300CMA",33,unit,196299,PHP,"{""bladeDia_in"":33,""outletArea_ft2"":1.97,""maxRpm"":2289,""bladeType"":""Ring Paddle Wheel"",""drive"":""belt"",""category"":""Centrifugal Type"",""type"":""Radial Blower"",""tag"":""CMA""}"
AV3650CMA,CENTRIFUGAL,"Radial Blower 36.5"" Ring Paddle Wheel (CMA)","Radial Blower / Centrifugal Material Handling
Ring Paddle Wheel / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel / Model: AV3650CMA",36.5,unit,251481,PHP,"{""bladeDia_in"":36.5,""outletArea_ft2"":2.41,""maxRpm"":2072,""bladeType"":""Ring Paddle Wheel"",""drive"":""belt"",""category"":""Centrifugal Type"",""type"":""Radial Blower"",""tag"":""CMA""}"
AV4000CMA,CENTRIFUGAL,"Radial Blower 40"" Ring Paddle Wheel (CMA)","Radial Blower / Centrifugal Material Handling
Ring Paddle Wheel / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel / Model: AV4000CMA",40,unit,297843,PHP,"{""bladeDia_in"":40,""outletArea_ft2"":2.9,""maxRpm"":1891,""bladeType"":""Ring Paddle Wheel"",""drive"":""belt"",""category"":""Centrifugal Type"",""type"":""Radial Blower"",""tag"":""CMA""}"
AV4512CMA,CENTRIFUGAL,"Radial Blower 45.125"" Ring Paddle Wheel (CMA)","Radial Blower / Centrifugal Material Handling
Ring Paddle Wheel / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel / Model: AV4512CMA",45.125,unit,377325,PHP,"{""bladeDia_in"":45.125,""outletArea_ft2"":3.69,""maxRpm"":1677,""bladeType"":""Ring Paddle Wheel"",""drive"":""belt"",""category"":""Centrifugal Type"",""type"":""Radial Blower"",""tag"":""CMA""}"
AV5050CMA,CENTRIFUGAL,"Radial Blower 50.5"" Ring Paddle Wheel (CMA)","Radial Blower / Centrifugal Material Handling
Ring Paddle Wheel / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel / Model: AV5050CMA",50.5,unit,440016,PHP,"{""bladeDia_in"":50.5,""outletArea_ft2"":4.62,""maxRpm"":1498,""bladeType"":""Ring Paddle Wheel"",""drive"":""belt"",""category"":""Centrifugal Type"",""type"":""Radial Blower"",""tag"":""CMA""}"
