modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
15AAQ1,1560,0.00,32.00,0.01900,
15AAQ1,1560,306.00,0.00,0.01900,
20ALH,1340,0.00,25.00,0.02900,
20ALH,1340,600.00,0.00,0.02900,
20AUH,1400,0.00,25.00,0.02900,
20AUH,1400,650.00,0.00,0.02900,
25ALH,1050,0.00,25.00,0.03300,
25ALH,1050,846.00,0.00,0.03300,
25AUH,1125,0.00,25.00,0.03300,
25AUH,1125,940.00,0.00,0.03300,
25RLF,1060,0.00,25.00,0.03400,
25RLF,1060,835.00,0.00,0.03400,
30ALF,835,0.00,25.00,0.03300,
30ALF,835,915.00,0.00,0.03300,
30AUH,950,0.00,25.00,0.03300,
30AUH,950,1140.00,0.00,0.03300,
30KQT,1255,0.00,60.00,0.05100,
30KQT,1255,1270.00,0.00,0.05100,
30RLE,835,0.00,25.00,0.03300,
30RLE,835,730.00,0.00,0.03300,
40KQT,1260,0.00,60.00,0.07600,
40KQT,1260,2190.00,0.00,0.07600,
