modelCode,family,name,description,sizeLabel,uom,basePrice,currency,specsJson
AV0900SIEB,CENTRIFUGAL,"Square Inline Blower 9"" Backwardly Inclined (SIEB)","Square Inline Blower
Tubular Inline Type / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV0900SIEB",9,unit,17575,PHP,"{""bladeDia_in"":9,""outletArea_ft2"":1.62,""maxRpm"":3205,""bladeType"":""Backwardly Inclined"",""drive"":""belt"",""category"":""Tubular Inline Type"",""type"":""Square Inline Blower"",""tag"":""SIEB""}"
AV1050SIEB,CENTRIFUGAL,"Square Inline Blower 10.5"" Backwardly Inclined (SIEB)","Square Inline Blower
Tubular Inline Type / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1050SIEB",10.5,unit,17575,PHP,"{""bladeDia_in"":10.5,""outletArea_ft2"":2.2,""maxRpm"":2480,""bladeType"":""Backwardly Inclined"",""drive"":""belt"",""category"":""Tubular Inline Type"",""type"":""Square Inline Blower"",""tag"":""SIEB""}"
AV1225SIEB,CENTRIFUGAL,"Square Inline Blower 12.25"" Backwardly Inclined (SIEB)","Square Inline Blower
Tubular Inline Type / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1225SIEB",12.25,unit,19563,PHP,"{""bladeDia_in"":12.25,""outletArea_ft2"":2.67,""maxRpm"":2655,""bladeType"":""Backwardly Inclined"",""drive"":""belt"",""category"":""Tubular Inline Type"",""type"":""Square Inline Blower"",""tag"":""SIEB""}"
AV1350SIEB,CENTRIFUGAL,"Square Inline Blower 13.5"" Backwardly Inclined (SIEB)","Square Inline Blower
Tubular Inline Type / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1350SIEB",13.5,unit,22738,PHP,"{""bladeDia_in"":13.5,""outletArea_ft2"":3.22,""maxRpm"":2225,""bladeType"":""Backwardly Inclined"",""drive"":""belt"",""category"":""Tubular Inline Type"",""type"":""Square Inline Blower"",""tag"":""SIEB""}"
AV1500SIEB,CENTRIFUGAL,"Square Inline Blower 15"" Backwardly Inclined (SIEB)","Square Inline Blower
Tubular Inline Type / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1500SIEB",15,unit,24390,PHP,"{""bladeDia_in"":15,""outletArea_ft2"":3.9,""maxRpm"":2090,""bladeType"":""Backwardly Inclined"",""drive"":""belt"",""category"":""Tubular Inline Type"",""type"":""Square Inline Blower"",""tag"":""SIEB""}"
AV1650SIEB,CENTRIFUGAL,"Square Inline Blower 16.5"" Backwardly Inclined (SIEB)","Square Inline Blower
Tubular Inline Type / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1650SIEB",16.5,unit,26451,PHP,"{""bladeDia_in"":16.5,""outletArea_ft2"":4.83,""maxRpm"":2040,""bladeType"":""Backwardly Inclined"",""drive"":""belt"",""category"":""Tubular Inline Type"",""type"":""Square Inline Blower"",""tag"":""SIEB""}"
AV1825SIEB,CENTRIFUGAL,"Square Inline Blower 18.25"" Backwardly Inclined (SIEB)","Square Inline Blower
Tubular Inline Type / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV1825SIEB",18.25,unit,29506,PHP,"{""bladeDia_in"":18.25,""outletArea_ft2"":5.82,""maxRpm"":1750,""bladeType"":""Backwardly Inclined"",""drive"":""belt"",""category"":""Tubular Inline Type"",""type"":""Square Inline Blower"",""tag"":""SIEB""}"
AV2000SIEB,CENTRIFUGAL,"Square Inline Blower 20"" Backwardly Inclined (SIEB)","Square Inline Blower
Tubular Inline Type / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV2000SIEB",20,unit,34977,PHP,"{""bladeDia_in"":20,""outletArea_ft2"":7.18,""maxRpm"":1465,""bladeType"":""Backwardly Inclined"",""drive"":""belt"",""category"":""Tubular Inline Type"",""type"":""Square Inline Blower"",""tag"":""SIEB""}"
AV2225SIEB,CENTRIFUGAL,"Square Inline Blower 22.25"" Backwardly Inclined (SIEB)","Square Inline Blower
Tubular Inline Type / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV2225SIEB",22.25,unit,36654,PHP,"{""bladeDia_in"":22.25,""outletArea_ft2"":8.03,""maxRpm"":1470,""bladeType"":""Backwardly Inclined"",""drive"":""belt"",""category"":""Tubular Inline Type"",""type"":""Square Inline Blower"",""tag"":""SIEB""}"
AV2450SIEB,CENTRIFUGAL,"Square Inline Blower 24.5"" Backwardly Inclined (SIEB)","Square Inline Blower
Tubular Inline Type / Belt Driven
Made of Black Iron Sheet
Painted with Epoxy Enamel Aqua Green / Model: AV2450SIEB",24.5,unit,39349,PHP,"{""bladeDia_in"":24.5,""outletArea_ft2"":9.77,""maxRpm"":1425,""bladeType"":""Backwardly Inclined"",""drive"":""belt"",""category"":""Tubular Inline Type"",""type"":""Square Inline Blower"",""tag"":""SIEB""}"
