modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV0900SIEB,1450,1277.66,31.14,0.0671,
AV0900SIEB,1450,1184.21,62.27,0.0671,
AV0900SIEB,1450,954.84,124.54,0.0746,
AV0900SIEB,1650,1476.44,31.14,0.0969,
AV0900SIEB,1650,1396.59,62.27,0.0969,
AV0900SIEB,1650,1214.79,124.54,0.1044,
AV0900SIEB,1650,978.63,186.82,0.1044,
AV0900SIEB,1850,1671.83,31.14,0.1342,
AV0900SIEB,1850,1603.87,62.27,0.1342,
AV0900SIEB,1850,1450.96,124.54,0.1417,
AV0900SIEB,1850,1270.86,186.82,0.1491,
AV0900SIEB,1850,1033.00,249.09,0.1491,
AV0900SIEB,2015,1833.23,31.14,0.1715,
AV0900SIEB,2015,1770.37,62.27,0.1715,
AV0900SIEB,2015,1634.45,124.54,0.1864,
AV0900SIEB,2015,1481.54,186.82,0.1939,
AV0900SIEB,2015,1298.04,249.09,0.1939,
AV0900SIEB,2015,1046.59,311.36,0.1864,
AV0900SIEB,2120,1935.17,31.14,0.2013,
AV0900SIEB,2120,1875.71,62.27,0.2013,
AV0900SIEB,2120,1748.28,124.54,0.2088,
AV0900SIEB,2120,1607.26,186.82,0.2237,
AV0900SIEB,2120,1445.86,249.09,0.2237,
AV0900SIEB,2120,1247.07,311.36,0.2237,
AV0900SIEB,2120,858.00,373.63,0.2013,
AV0900SIEB,2230,2040.51,31.14,0.2312,
AV0900SIEB,2230,1984.44,62.27,0.2312,
AV0900SIEB,2230,1867.21,124.54,0.2461,
AV0900SIEB,2230,1736.39,186.82,0.2535,
AV0900SIEB,2230,1588.58,249.09,0.2610,
AV0900SIEB,2230,1418.67,311.36,0.2610,
AV0900SIEB,2230,1194.40,373.63,0.2610,
AV0900SIEB,2390,2195.12,31.14,0.2834,
AV0900SIEB,2390,2144.15,62.27,0.2834,
AV0900SIEB,2390,2033.72,124.54,0.2983,
AV0900SIEB,2390,1916.48,186.82,0.3057,
AV0900SIEB,2390,1787.36,249.09,0.3207,
AV0900SIEB,2390,1642.94,311.36,0.3207,
